Anom_ID,Accident_Date,Accident_Time,Location,Geo_ID,Accident_Location,Classification_of_Accident,Initial_Impact_Type,Environment_Condition,Light,Road_Surface_Condition,Traffic_Control,Traffic_Control_Condition,No__of_Vehicles,No__of_Bicycles,No__of_Motorcycles,No__of_Pedestrians,Max_Injury,No__of_Injuries,No__of_Minimal,No__of_Minor,No__of_Major,No__of_Fatal,X,Y,Latitude,Longitude,ObjectId
16--10020,2016/09/24,9:03 AM,HIGHWAY 417 btwn HWY417 IC126 RAMP16 & HWY417 IC126 RAMP61 (__3ZA2RC),__3ZA2RC,01 - Non intersection,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,363177.5832,5025879.397,45.37042581,-75.75471566,37
16--10021,2016/09/24,9:22 AM,WOODROFFE AVE @ QUEENSBURY DR/RIDEAUCREST DR (0000043),43,03 - At intersection,03 - P.D. only,05 - Turning movement,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,365727.6743,5016328.274,45.2842689,-75.72333794,38
16--10022,2016/09/24,9:31 AM,KING EDWARD AVE @ MURRAY ST (0002713),2713,03 - At intersection,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,368290.0435,5032753.996,45.43183681,-75.68856814,39
16--10023,2016/09/25,1:00 PM,HIGHWAY 417 btwn HWY417 IC96 RAMP51 & HIGHWAY 417 (__3ZA2W3),__3ZA2W3,01 - Non intersection,03 - P.D. only,04 - Sideswipe,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,387199.7142,5023871.988,45.34995229,-75.44841331,40
16--10024,2016/09/25,1:06 PM,AVIATION PKWY @ AVIATION/ROCKCLIFFE PKWY WB ON (0002033),2033,02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,02 - Stop sign,01 - Functioning,2,0,0,0,,0,,,,,371678.4006,5035485.127,45.4560944,-75.64489693,41
16--10025,2016/09/25,1:15 AM,HIGHWAY 417 btwn HWY417 IC121A RAMP51 & HWY417 IC120A RAMP52 (__3ZA2R6),__3ZA2R6,01 - Non intersection,03 - P.D. only,03 - Rear end,01 - Clear,07 - Dark,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,367281.8996,5029741.468,45.40482182,-75.70183342,42
16--10026,2016/09/25,1:34 PM,LEES AVE @ KING EDWARD AVE/MANN AVE (0011413),11413,02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,369179.0169,5031334.547,45.41898387,-75.67739335,43
16--10027,2016/09/25,10:03 AM,FARRIERS LANE @ SOUTHDOWN CRT (0009388),9388,03 - At intersection,03 - P.D. only,02 - Angle,01 - Clear,01 - Daylight,01 - Dry,02 - Stop sign,01 - Functioning,2,0,0,0,,0,,,,,371645.6306,5023351.734,45.34692624,-75.64696044,44
16--10028,2016/09/25,10:20 PM,HWY417 IC124 RAMP55 btwn CARLING AVE EB & HIGHWAY 417 (__3ZAYA6),__3ZAYA6,01 - Non intersection,03 - P.D. only,03 - Rear end,01 - Clear,07 - Dark,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,364434.2354,5027479.812,45.38472028,-75.73848059,45
16--10029,2016/09/25,10:24 AM,SPRATT RD btwn HOLLOW TRAIL GT & CANYON WALK DR (__3EX1UQ),__3EX1UQ,01 - Non intersection,03 - P.D. only,04 - Sideswipe,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,369042.4351,5016405.496,45.28466861,-75.68107799,46
16--1003,2016/01/21,4:50 PM,PARKDALE AVE @ TYNDALL ST (0006515),6515,03 - At intersection,03 - P.D. only,99 - Other,01 - Clear,05 - Dusk,02 - Wet,02 - Stop sign,01 - Functioning,2,0,0,0,,0,,,,,365263.9201,5029013.78,45.39845147,-75.72769865,47
16--10030,2016/09/25,10:36 AM,BASELINE RD @ CEDARVIEW RD (0010259),10259,02 - Intersection related,02 - Non-fatal injury,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,01 - Minimal,1,1,,,,358972.347,5021688.231,45.33305132,-75.8088574,48
16--10031,2016/09/25,10:55 PM,HIGHWAY 417 btwn HWY417 IC126 RAMP61 & HWY417 IC124 RAMP76 (__3ZA2Y2),__3ZA2Y2,01 - Non intersection,02 - Non-fatal injury,03 - Rear end,01 - Clear,07 - Dark,01 - Dry,10 - No control,,2,0,0,0,01 - Minimal,2,2,,,,363197.5607,5025920.962,45.37079814,-75.75445572,49
16--10032,2016/09/25,11:15 PM,SMYTH RD @ SMYTH RD NORTH SIDE RAMP/SMYTH RD S (0006582),6582,03 - At intersection,03 - P.D. only,02 - Angle,01 - Clear,07 - Dark,01 - Dry,03 - Yield sign,01 - Functioning,2,0,0,0,,0,,,,,369918.1924,5029122.015,45.39900792,-75.66824174,50
16--10033,2016/09/25,11:29 AM,ANDERSON RD btwn RIDGE RD & RUSSELL RD (__3ZA2B4),__3ZA2B4,01 - Non intersection,03 - P.D. only,07 - SMV other,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,1,0,0,0,,0,,,,,379795.8926,5026766.891,45.37682967,-75.54244777,51
16--10034,2016/09/25,Unknown,HAMILTON AVE   N btwn CRAFTSMAN PRIV & SPENCER ST (__382WQQ),__382WQQ,01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,00 - Unknown,01 - Dry,10 - No control,,1,0,0,0,,0,,,,,364982.9908,5029451.666,45.40241568,-75.73123318,52
16--10035,2016/09/25,Unknown,HIGHWAY 417 btwn HWY417 IC119B RAMP57 & HWY417 IC119A RAMP75 (__3ZA1QN),__3ZA1QN,01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,00 - Unknown,01 - Dry,10 - No control,,1,0,0,0,,0,,,,,368588.5529,5030516.859,45.41168068,-75.68504311,53
16--10036,2016/09/25,12:50 PM,ST. JOSEPH BLVD/OLD MONTREAL RD @ TRIM RD (0004118),4118,03 - At intersection,03 - P.D. only,02 - Angle,01 - Clear,01 - Daylight,01 - Dry,11 - Roundabout,01 - Functioning,2,0,0,0,,0,,,,,384682.8007,5039286.544,45.48893028,-75.47802989,54
16--10037,2016/09/25,2:00 PM,HIGHWAY 417 btwn HWY417 IC131 RAMP66 & HWY417 IC130 RAMP26 (__3ZA29A),__3ZA29A,01 - Non intersection,03 - P.D. only,04 - Sideswipe,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,359194.5933,5023078.61,45.3455448,-75.80586929,55
16--10038,2016/09/25,3:56 AM,BANNER RD btwn PARKMOUNT CRES & PARKMOUNT CRES (__3ZAB4V),__3ZAB4V,01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,07 - Dark,01 - Dry,10 - No control,,1,0,0,0,,0,,,,,360909.0491,5021594.812,45.33205856,-75.78416103,56
16--10039,2016/09/25,4:05 PM,COOPER ST @ BANK ST (0006951),6951,02 - Intersection related,03 - P.D. only,05 - Turning movement,01 - Clear,01 - Daylight,01 - Dry,02 - Stop sign,01 - Functioning,2,0,0,0,,0,,,,,367648.1179,5030990.491,45.41602736,-75.69699643,57
16--1004,2016/01/21,5:20 AM,HIGHWAY 417 btwn HWY417 IC119B RAMP76 & HWY417 IC119A RAMP67 (__3ZA2YT),__3ZA2YT,01 - Non intersection,03 - P.D. only,99 - Other,03 - Snow,07 - Dark,02 - Wet,10 - No control,,3,0,0,0,,0,,,,,368595.2631,5030537.091,45.41186211,-75.68495477,58
16--10040,2016/09/25,4:06 PM,HIGHWAY 417 btwn HWY417 IC126 RAMP61 & HWY417 IC124 RAMP76 (__3ZA2Y2),__3ZA2Y2,01 - Non intersection,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,4,0,0,0,,0,,,,,363187.0869,5025902.058,45.37062892,-75.75459166,59
16--10041,2016/09/25,4:36 PM,MANOTICK STATION RD btwn HERBERTS CORNERS RD & SNAKE ISLAND RD (__3ZA71F),__3ZA71F,01 - Non intersection,02 - Non-fatal injury,07 - SMV other,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,1,0,0,0,03 - Major,3,,1,2,,376010.7168,5007486.454,45.20374625,-75.59353861,60
16--10042,2016/09/25,4:40 PM,AIRPORT PKWY btwn RAMP & AIRPORT PKWY (2) (__3ZA22Z),__3ZA22Z,01 - Non intersection,03 - P.D. only,07 - SMV other,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,1,0,0,0,,0,,,,,370885.0832,5023970.557,45.35256629,-75.65658229,61
16--10043,2016/09/25,4:45 PM,BLANCHFIELD RD @ OSGOODE MAIN ST (0005713),5713,03 - At intersection,03 - P.D. only,02 - Angle,01 - Clear,01 - Daylight,01 - Dry,02 - Stop sign,01 - Functioning,2,0,0,0,,0,,,,,377912.3696,5002875.356,45.16206208,-75.57001088,62
16--10044,2016/09/25,9:28 AM,TENTH LINE RD btwn ST. JOSEPH BLVD & OLD TENTH LINE RD (__3ZA1TE),__3ZA1TE,01 - Non intersection,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,382933.868,5038579.082,45.48276316,-75.50051374,63
16--10045,2016/09/26,1:27 PM,LAURIER AVE   W btwn KENT ST & BANK ST (__3ZA344),__3ZA344,01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,1,0,0,0,,0,,,,,367404.1975,5031219.433,45.41810917,-75.70008358,64
16--10046,2016/09/26,1:46 PM,LENESTER AVE btwn HARE AVE & MUSKOKA AVE (__3ZAA49),__3ZAA49,04 - At/near private drive,03 - P.D. only,02 - Angle,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,362553.1145,5025825.694,45.36999434,-75.76269362,65
16--10047,2016/09/26,10:00 PM,ELGIN ST btwn SOMERSET ST W & MACLAREN ST (__3ZA342),__3ZA342,01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,07 - Dark,01 - Dry,10 - No control,,1,0,0,0,,0,,,,,368197.956,5031144.358,45.4173622,-75.68995211,66
16--10048,2016/09/26,10:00 PM,HIGHWAY 417 btwn HWY417 IC110 RAMP55 & HWY417 IC104 RAMP51 (__3ZA2W8),__3ZA2W8,01 - Non intersection,03 - P.D. only,03 - Rear end,02 - Rain,07 - Dark,02 - Wet,10 - No control,,2,0,0,0,,0,,,,,377769.602,5026396.461,45.3737107,-75.56837082,67
16--10049,2016/09/26,10:01 PM,SHIRLEY'S BROOK DR btwn MORGAN'S GRANT WAY & INVERARY DR (__3ZA43L),__3ZA43L,04 - At/near private drive,03 - P.D. only,03 - Rear end,02 - Rain,07 - Dark,02 - Wet,10 - No control,,2,0,0,0,,0,,,,,349684.5349,5023638.388,45.35125484,-75.92716983,68
16--1005,2016/01/21,5:20 PM,RIDEAU ST btwn SUSSEX DR & 88 W OF WILLIAM ST/FREIMAN MALL (__3ZA25UA),__3ZA25UA,01 - Non intersection,03 - P.D. only,04 - Sideswipe,01 - Clear,05 - Dusk,02 - Wet,10 - No control,,2,0,0,0,,0,,,,,368004.9717,5032099.028,45.42596946,-75.69229519,69
16--10050,2016/09/26,10:20 AM,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD (0012421),12421,03 - At intersection,03 - P.D. only,04 - Sideswipe,01 - Clear,01 - Daylight,01 - Dry,11 - Roundabout,01 - Functioning,2,0,0,0,,0,,,,,379860.962,5036472.24,45.46414462,-75.54013847,70
16--10051,2016/09/26,Unknown,COOPER ST btwn O'CONNOR ST & METCALFE ST (__3ZA9UP),__3ZA9UP,01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,00 - Unknown,01 - Dry,10 - No control,,1,0,0,0,,0,,,,,367939.5523,5031165.09,45.41757211,-75.6932508,71
16--10052,2016/09/26,Unknown,PRESTON ST btwn BALSAM ST & GLADSTONE AVE (__3ZA31R),__3ZA31R,01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,00 - Unknown,01 - Dry,10 - No control,,1,0,0,0,,0,,,,,366485.5105,5029719.777,45.40469728,-75.71200852,72
16--10053,2016/09/26,Unknown,DONALD ST btwn BELGATE WAY & CUMMINGS AVE (__3ZBO2K),__3ZBO2K,01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,00 - Unknown,01 - Dry,10 - No control,,1,0,0,0,,0,,,,,372629.8657,5032408.286,45.42831882,-75.63315703,73
16--10054,2016/09/26,12:39 PM,LEEDS AVE @ SHEFFIELD RD (0007680),7680,03 - At intersection,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,03 - Yield sign,01 - Functioning,2,0,0,0,,0,,,,,374866.0352,5029544.674,45.40233312,-75.60499011,74
16--10055,2016/09/26,3:24 AM,ELGIN ST @ LAURIER AVE (0002232),2232,03 - At intersection,03 - P.D. only,07 - SMV other,01 - Clear,07 - Dark,01 - Dry,01 - Traffic signal,01 - Functioning,1,0,0,0,,0,,,,,367948.0513,5031549.356,45.42102884,-75.69309297,75
16--10056,2016/09/26,3:48 PM,CONROY RD @ WALKLEY RD (0002648),2648,02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,372905.283,5027464.21,45.38380751,-75.63032061,76
16--10057,2016/09/26,4:03 PM,BANK ST @ WALKLEY RD (0011423),11423,02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,370339.5083,5025947.321,45.37040381,-75.66328235,77
16--10058,2016/09/26,4:32 PM,REGIONAL ROAD 174 btwn TRANSIT & OR174 IC109 RAMP54 (__3ZAZ6V),__3ZAZ6V,01 - Non intersection,03 - P.D. only,04 - Sideswipe,02 - Rain,01 - Daylight,02 - Wet,10 - No control,,2,0,0,0,,0,,,,,376384.3987,5034794.266,45.44941221,-75.58483434,78
16--10059,2016/09/26,4:55 AM,SLACK RD @ WOODROFFE AVE (0000102),102,03 - At intersection,03 - P.D. only,05 - Turning movement,01 - Clear,07 - Dark,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,364234.7812,5019974.698,45.3172071,-75.74192944,79
16--1006,2016/01/21,5:28 PM,WOODKILTON RD btwn VANCES SIDE RD & THOMAS A. DOLAN PKWY (__3ZA2O1),__3ZA2O1,01 - Non intersection,03 - P.D. only,01 - Approaching,03 - Snow,05 - Dusk,03 - Loose snow,10 - No control,,2,0,0,0,,0,,,,,340574.5118,5031226.036,45.42005491,-76.04288058,80
16--10060,2016/09/26,5:10 PM,OTTAWA RIVER PKWY btwn TRANSITWAY - TIME POINT & VIMY PLACE PRIV (__5VHJ2QA),__5VHJ2QA,01 - Non intersection,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,365934.3958,5030778.317,45.4142701,-75.71891671,81
