Anom_ID,Accident_Date,Accident_Time,Location,Geo_ID,Accident_Location,Classification_of_Accident,Initial_Impact_Type,Environment_Condition,Light,Road_Surface_Condition,Traffic_Control,Traffic_Control_Condition,No__of_Vehicles,No__of_Bicycles,No__of_Motorcycles,No__of_Pedestrians,Max_Injury,No__of_Injuries,No__of_Minimal,No__of_Minor,No__of_Major,No__of_Fatal,X,Y,Latitude,Longitude,ObjectId
18--10178,9/29/2018,11:16 AM,WEST HUNT CLUB RD WB btwn 354 E OF WOODROFFE AVE/REC PATH & CLEOPATRA DR/LANCELOT DR (__3ZA3JEB),__3ZA3JEB,01 - Non intersection,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,365227.7129,5021730.07,45.332917,-75.72905186,11
18--10179,9/29/2018,Unknown,RUSSELL AVE btwn TEMPLETON ST & MANN AVE (__3ZA9VM),__3ZA9VM,01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,00 - Unknown,01 - Dry,10 - No control,,1,0,0,0,,0,,,,,369461.0951,5031520.485,45.42063086,-75.67376505,12
18--1018,1/18/2018,8:11 AM,FALLOWFIELD RD @ GREENBANK RD (0000549),549,02 - Intersection related,03 - P.D. only,03 - Rear end,03 - Snow,01 - Daylight,02 - Wet,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,363080.675,5016732.456,45.28813019,-75.75702959,13
18--10180,9/29/2018,12:01 AM,FLETCHER CIRC btwn TORBEC AVE & KEYROCK DR (__54M2Q9),__54M2Q9,01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,07 - Dark,01 - Dry,10 - No control,,1,0,0,0,,0,,,,,349564.8677,5020146.328,45.31984007,-75.92901286,14
18--10181,9/29/2018,12:11 PM,GRASSY PLAINS DR btwn GRANITE CRT & SUNNYBROOKE DR (__3ZA1CJ),__3ZA1CJ,01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,02 - Rain,01 - Daylight,02 - Wet,10 - No control,,1,0,0,0,,0,,,,,355342.7205,5015618.349,45.2787043,-75.85578088,15
18--10182,9/29/2018,12:32 PM,ANDERSON RD @ INNES RD (0004200),4200,02 - Intersection related,03 - P.D. only,04 - Sideswipe,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,376280.7405,5031841.564,45.42285621,-75.58658812,16
18--10183,9/29/2018,12:32 PM,REGIONAL ROAD 174 btwn OR174 IC112 RAMP36 & OR174 IC112 RAMP26 (__3ZAZFK),__3ZAZFK,01 - Non intersection,03 - P.D. only,04 - Sideswipe,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,374679.0359,5032753.666,45.43122463,-75.60692346,17
18--10184,9/29/2018,12:43 PM,MITCH OWENS RD btwn TRANQUIL GT & OLD PRESCOTT RD (__3ZA3TU),__3ZA3TU,01 - Non intersection,02 - Non-fatal injury,01 - Approaching,01 - Clear,01 - Daylight,02 - Wet,10 - No control,,2,0,0,0,01 - Minimal,1,1,,,,376752.7703,5015338.887,45.2743247,-75.58295809,18
18--10185,9/29/2018,2:49 PM,INNES RD btwn BLACKBURN BYPASS & CLEROUX CRES (__3ZA3KN),__3ZA3KN,04 - At/near private drive,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,379608.6385,5033783.736,45.43998253,-75.54377356,19
18--10186,9/29/2018,3:04 PM,RIVERSIDE DR NB btwn INDUSTRIAL AVE & TREMBLAY RD (__3ZA4SE),__3ZA4SE,01 - Non intersection,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,3,0,0,0,,0,,,,,370687.8625,5030602.135,45.41225346,-75.65821398,20
18--10187,9/29/2018,5:05 PM,INDUSTRIAL AVE @ RIVERSIDE DR (0011905),11905,02 - Intersection related,03 - P.D. only,03 - Rear end,02 - Rain,01 - Daylight,02 - Wet,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,370684.7863,5030592.502,45.41216707,-75.65825456,21
18--10188,9/29/2018,5:41 PM,CARWOOD CIRC btwn DEN HAAG DR & Continuation of CARWOOD CIRC (__4O01JZ),__4O01JZ,01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,1,0,0,0,,0,,,,,372531.3318,5033996.496,45.4426183,-75.6341976,22
18--10189,9/29/2018,5:45 PM,HIGHWAY 417 btwn HWY417 IC134 RAMP61 & HWY417 IC131 RAMP66 (__3ZA297),__3ZA297,01 - Non intersection,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,357184.3047,5022620.813,45.34157853,-75.83156932,23
18--1019,1/18/2018,8:16 AM,BROADVIEW AVE @ RICHMOND RD (0006612),6612,03 - At intersection,02 - Non-fatal injury,05 - Turning movement,01 - Clear,01 - Daylight,02 - Wet,02 - Stop sign,01 - Functioning,2,0,0,0,02 - Minor,1,,1,,,362679.6923,5027865.55,45.38833827,-75.76083868,24
18--10190,9/29/2018,6:00 PM,CLEARBROOK DR btwn ROSWELL DR & PAUL METIVIER DR (__4FP80W),__4FP80W,01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,1,0,0,0,,0,,,,,366027.7375,5014885.644,45.27126212,-75.71969125,25
18--10191,9/29/2018,6:15 PM,BATHURST AVE @ CAVERLEY ST/SONATA PL (0011561),11561,03 - At intersection,03 - P.D. only,02 - Angle,01 - Clear,01 - Daylight,01 - Dry,02 - Stop sign,01 - Functioning,2,0,0,0,,0,,,,,371782.6865,5030113.544,45.40775339,-75.64429441,26
18--10192,9/29/2018,6:15 PM,TIMM DR btwn EAGLESON RD & HAANEL DR (__3ZAZCZ),__3ZAZCZ,01 - Non intersection,03 - P.D. only,07 - SMV other,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,1,0,0,0,,0,,,,,354716.6628,5019810.889,45.31647434,-75.86333809,27
18--10193,9/29/2018,6:17 PM,BANK ST @ FOURTH AVE (0007249),7249,03 - At intersection,02 - Non-fatal injury,02 - Angle,01 - Clear,01 - Daylight,01 - Dry,02 - Stop sign,01 - Functioning,2,0,0,0,01 - Minimal,1,1,,,,368367.7822,5029476.593,45.40234079,-75.68799749,28
18--10194,9/29/2018,6:29 PM,GREENBANK RD btwn WEST HUNT CLUB RD & FALLOWFIELD RD (__3ZA1NE),__3ZA1NE,01 - Non intersection,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,362880.0459,5017197.352,45.29232994,-75.7595326,29
18--10195,9/29/2018,7:24 PM,BARNSDALE RD @ TWIN ELM RD N (0000840),840,02 - Intersection related,02 - Non-fatal injury,07 - SMV other,01 - Clear,07 - Dark,01 - Dry,02 - Stop sign,01 - Functioning,1,0,0,0,02 - Minor,1,,1,,,360185.5103,5007832.551,45.20828163,-75.79492618,30
18--10196,9/29/2018,7:38 PM,KING EDWARD AVE @ ST. PATRICK ST (0002714),2714,02 - Intersection related,03 - P.D. only,04 - Sideswipe,01 - Clear,05 - Dusk,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,368248.7008,5032823.589,45.43246674,-75.6890875,31
18--10197,9/29/2018,7:51 PM,BESSERER ST @ WALLER ST (0008859),8859,02 - Intersection related,03 - P.D. only,05 - Turning movement,01 - Clear,07 - Dark,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,368315.9328,5032191.978,45.42677762,-75.68830979,32
18--10198,9/29/2018,8:30 PM,EAGLESON RD/MCCORDICK RD @ BROPHY DR (0000160),160,02 - Intersection related,03 - P.D. only,07 - SMV other,01 - Clear,07 - Dark,01 - Dry,02 - Stop sign,01 - Functioning,1,0,0,0,,0,,,,,359085.6276,5004722.326,45.18038059,-75.80926564,33
18--10199,9/29/2018,8:40 AM,ST. JOSEPH BLVD @ TENTH LINE RD (0009163),9163,02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,382890.6849,5038666.487,45.48355438,-75.50105216,34
18--102,1/2/2018,2:38 PM,HIGHWAY 417 btwn HWY417 IC155 RAMP35 & HWY417 IC155 RAMP25 (__3ZAZNU),__3ZAZNU,01 - Non intersection,03 - P.D. only,07 - SMV other,01 - Clear,01 - Daylight,06 - Ice,10 - No control,,1,0,0,0,,0,,,,,339556.7231,5019305.547,45.31284117,-76.05672386,35
18--1020,1/18/2018,8:25 PM,ELGIN ST @ LAURIER AVE (0002232),2232,02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,07 - Dark,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,367948.7097,5031549.576,45.42103076,-75.69308453,36
18--10200,9/29/2018,8:43 PM,KING EDWARD AVE @ LAURIER AVE (0002170),2170,03 - At intersection,03 - P.D. only,05 - Turning movement,01 - Clear,07 - Dark,02 - Wet,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,368739.7081,5032034.518,45.42532225,-75.68291522,37
18--10201,9/29/2018,9:33 AM,REGIONAL ROAD 174 btwn OR174 IC112 RAMP61 & TRANSIT (__3ZA2W0),__3ZA2W0,01 - Non intersection,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,375258.007,5033191.057,45.43510194,-75.59946235,38
18--10202,9/29/2018,9:36 PM,MEADOWLANDS DR @ MERIVALE RD (0000625),625,03 - At intersection,02 - Non-fatal injury,05 - Turning movement,01 - Clear,07 - Dark,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,01 - Minimal,1,1,,,,364858.7296,5023725.528,45.35090357,-75.73351674,39
18--10203,9/29/2018,9:56 AM,OLD ALMONTE RD btwn UPPER DWYER HILL RD & CORKERY RD (__3ZBNAS),__3ZBNAS,01 - Non intersection,03 - P.D. only,07 - SMV other,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,1,0,0,0,,0,,,,,338521.2095,5012726.941,45.25369391,-76.07037714,40
18--10204,9/30/2018,1:05 AM,CARLING AVE @ MOODIE DR/JAMES CUMMINGS AVE W (0000158),158,02 - Intersection related,03 - P.D. only,07 - SMV other,01 - Clear,07 - Dark,02 - Wet,01 - Traffic signal,01 - Functioning,1,0,0,0,,0,,,,,356001.626,5023937.544,45.35351391,-75.84652314,41
18--10205,9/30/2018,1:29 AM,RIVERSIDE DR @ WALKLEY RD (0002158),2158,02 - Intersection related,02 - Non-fatal injury,99 - Other,01 - Clear,07 - Dark,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,02 - Minor,1,,1,,,368418.6693,5024853.582,45.36073962,-75.68794327,42
18--10206,9/30/2018,1:30 AM,RIVERSIDE DR @ WALKLEY RD (0002158),2158,02 - Intersection related,03 - P.D. only,07 - SMV other,01 - Clear,07 - Dark,01 - Dry,01 - Traffic signal,01 - Functioning,1,0,0,0,,0,,,,,368418.6972,5024853.583,45.36073963,-75.68794291,43
18--10207,9/30/2018,1:50 AM,SPRATT RD btwn EARL ARMSTRONG RD & RIDEAU RD (__3ZBO76),__3ZBO76,01 - Non intersection,03 - P.D. only,07 - SMV other,01 - Clear,07 - Dark,01 - Dry,10 - No control,,1,0,0,0,,0,,,,,369129.1366,5013057.007,45.25453138,-75.68040665,44
18--10208,9/30/2018,11:53 AM,FALLOWFIELD RD @ WOODROFFE AVE (0010372),10372,02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,365085.2442,5017903.203,45.29849543,-75.73133503,45
18--10209,9/30/2018,Unknown,CUMBERLAND ST btwn GEORGE ST & RIDEAU ST (__3ZA81T),__3ZA81T,01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,00 - Unknown,01 - Dry,10 - No control,,1,0,0,0,,0,,,,,368357.5904,5032360.341,45.42828871,-75.68775576,46
18--1021,1/18/2018,8:48 PM,DWYER HILL RD @ FLEWELLYN RD (0005284),5284,03 - At intersection,02 - Non-fatal injury,02 - Angle,01 - Clear,07 - Dark,02 - Wet,02 - Stop sign,01 - Functioning,2,0,0,0,01 - Minimal,2,2,,,,343839.8569,5004007.71,45.17495851,-76.00330113,47
18--10210,9/30/2018,12:11 PM,BANK ST @ GLADSTONE AVE (0002253),2253,02 - Intersection related,03 - P.D. only,03 - Rear end,02 - Rain,01 - Daylight,02 - Wet,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,367916.7103,5030562.483,45.4121521,-75.69361981,48
18--10211,9/30/2018,12:31 PM,RIVERSIDE DR NB btwn FROBISHER LANE & HINCKS LANE (__3ZAZR1),__3ZAZR1,01 - Non intersection,02 - Non-fatal injury,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,02 - Minor,1,,1,,,370157.3757,5030115.559,45.40792518,-75.66505528,49
18--10212,9/30/2018,2:00 PM,ST. LAURENT BLVD @ TREMBLAY RD (0002573),2573,02 - Intersection related,03 - P.D. only,04 - Sideswipe,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,372595.7134,5031241.576,45.41782463,-75.633754,50
18--10213,9/30/2018,2:14 PM,GREENBANK RD @ MARKETPLACE AVE (0010406),10406,02 - Intersection related,03 - P.D. only,99 - Other,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,364008.3557,5014602.19,45.26888451,-75.74545851,51
18--10214,9/30/2018,2:28 PM,STEEPLE CHASE DR btwn BRIDLEWOOD DR & WOODBRIDGE CRES (__3ZA4WV),__3ZA4WV,01 - Non intersection,03 - P.D. only,07 - SMV other,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,1,0,0,0,,0,,,,,355189.1681,5017264.284,45.29352578,-75.85757078,52
18--10215,9/30/2018,3:23 PM,RAMSAYVILLE RD @ MITCH OWENS RD (0003575),3575,03 - At intersection,02 - Non-fatal injury,02 - Angle,01 - Clear,01 - Daylight,01 - Dry,02 - Stop sign,01 - Functioning,2,0,0,0,02 - Minor,1,,1,,,381144.791,5018038.402,45.29815038,-75.52657407,53
18--10216,9/30/2018,3:47 PM,RIVER RD btwn OLD MILL WAY & BRIDGE ST (__3ZA38E),__3ZA38E,04 - At/near private drive,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,369449.194,5010795.901,45.23415683,-75.67662331,54
18--10217,9/30/2018,4:37 PM,HAIG DR @ PLEASANT PARK RD (0008323),8323,03 - At intersection,03 - P.D. only,02 - Angle,01 - Clear,01 - Daylight,01 - Dry,02 - Stop sign,01 - Functioning,2,0,0,0,,0,,,,,372402.6834,5028586.53,45.39395437,-75.63658414,55
18--10218,9/30/2018,5:25 PM,BASELINE RD @ FARLANE BLVD (0002725),2725,02 - Intersection related,03 - P.D. only,07 - SMV other,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,1,0,0,0,,0,,,,,365356.7609,5025517.665,45.3669861,-75.72694177,56
18--10219,9/30/2018,6:00 PM,SALISBURY ST btwn VILLAGEVIEW PRIV & FAIRSIDE PRIV (__6UQVZN),__6UQVZN,01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,02 - Rain,01 - Daylight,02 - Wet,10 - No control,,1,0,0,0,,0,,,,,341807.8377,5022818.543,45.34433748,-76.0277522,57
18--1022,1/18/2018,8:54 AM,HIGHWAY 417 btwn HWY417 IC112 RAMP66 & HWY417 IC113 RAMP65 (__3ZA284),__3ZA284,01 - Non intersection,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,374191.9069,5031341.928,45.41857106,-75.61334725,58
18--10220,9/30/2018,6:26 PM,REGIONAL ROAD 174 btwn OR174 IC112 RAMP36 & OR174 IC112 RAMP26 (__3ZAZFK),__3ZAZFK,01 - Non intersection,03 - P.D. only,03 - Rear end,02 - Rain,01 - Daylight,02 - Wet,10 - No control,,2,0,0,0,,0,,,,,374730.6749,5032793.481,45.4315777,-75.60625792,59
18--10221,9/30/2018,6:45 PM,WEST HUNT CLUB RD @ WOODROFFE AVE (0000576),576,02 - Intersection related,03 - P.D. only,03 - Rear end,02 - Rain,05 - Dusk,02 - Wet,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,363670.5721,5021246.637,45.32869947,-75.74897391,60
18--10222,9/30/2018,7:05 PM,CAMEO DR @ MAITLAND AVE (0003215),3215,03 - At intersection,03 - P.D. only,03 - Rear end,02 - Rain,05 - Dusk,02 - Wet,02 - Stop sign,01 - Functioning,2,0,0,0,,0,,,,,364153.048,5025146.088,45.36374567,-75.74235145,61
18--10223,9/30/2018,7:30 PM,BANK ST @ HERON RD (0002155),2155,02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,07 - Dark,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,369995.6619,5026851.54,45.37857175,-75.66755227,62
18--10224,9/30/2018,7:38 PM,BLAIR RD @ MONTREAL RD (0009277),9277,03 - At intersection,02 - Non-fatal injury,02 - Angle,02 - Rain,07 - Dark,02 - Wet,01 - Traffic signal,01 - Functioning,2,0,0,0,02 - Minor,3,1,2,,,374019.4157,5034439.774,45.44646091,-75.61511549,63
18--10225,9/30/2018,7:43 PM,BLOHM DR @ HUNT CLUB RD (0011392),11392,03 - At intersection,03 - P.D. only,05 - Turning movement,02 - Rain,07 - Dark,02 - Wet,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,375129.6399,5026189.641,45.37211976,-75.60210137,64
18--10226,9/30/2018,9:03 AM,REGIONAL ROAD 174 EB btwn OR174 IC109 RAMP55 & TRANSIT (__3ZA28V),__3ZA28V,01 - Non intersection,03 - P.D. only,07 - SMV other,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,1,0,0,0,,0,,,,,376536.8974,5035132.77,45.45244221,-75.58283562,65
18--10227,10/1/2018,11:15 AM,HWY417 HUNT CLUB IC109 RAMP51 btwn HIGHWAY 417 EB & HWY417 HUNT CLUB IC109 RAMP52/53 (e___1GZO),e___1GZO,01 - Non intersection,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,376224.5,5027603.4,45.38472931,-75.58792056,66
18--10228,10/1/2018,11:51 AM,BRONSON/HERON RAMP 42/BRONSON/HERON RAMP 52 @  (0002516),2516,02 - Intersection related,02 - Non-fatal injury,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,02 - Stop sign,01 - Functioning,2,0,0,0,01 - Minimal,1,1,,,,368751.7172,5026892.536,45.37905527,-75.68342857,67
18--10229,10/1/2018,12:00 PM,LEMIEUX ST @ ST. LAURENT BLVD (0002021),2021,03 - At intersection,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,00 - Unknown,01 - Traffic signal,01 - Functioning,3,0,0,0,,0,,,,,372391.7245,5031742.564,45.42235202,-75.6362914,68
18--1023,1/18/2018,9:00 AM,CHAMPLAIN BRIDGE/ISLAND PARK DR btwn BATE ISLAND & PROVINCIAL BOUNDARY (__3ZA2ZEA),__3ZA2ZEA,07 - Overpass or bridge,03 - P.D. only,03 - Rear end,03 - Snow,01 - Daylight,02 - Wet,10 - No control,,2,0,0,0,,0,,,,,362905.349,5030125.817,45.4086571,-75.75769088,69
18--10230,10/1/2018,12:17 PM,KING EDWARD AVE @ ST. PATRICK ST (0002714),2714,02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,368248.7254,5032823.566,45.43246653,-75.68908719,70
18--10231,10/1/2018,12:29 PM,INDUSTRIAL AVE btwn TRAINYARDS DR & RUSSELL RD (__3ZA3R9),__3ZA3R9,04 - At/near private drive,03 - P.D. only,02 - Angle,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,372068.543,5030442.337,45.41068431,-75.64059813,71
18--10232,10/1/2018,2:30 PM,FISHER AVE @ PRINCE OF WALES DR (0000572),572,03 - At intersection,03 - P.D. only,05 - Turning movement,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,367161.7043,5023942.511,45.35265493,-75.70410109,72
18--10233,10/1/2018,2:43 PM,CITY PARK DR btwn AMBASSADOR AVE & OGILVIE RD (__3ZA4B7),__3ZA4B7,04 - At/near private drive,02 - Non-fatal injury,07 - SMV other,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,1,0,0,1,01 - Minimal,1,1,,,,374230.8023,5032916.337,45.4327329,-75.6126284,73
18--10234,10/1/2018,2:48 PM,RICHMOND RD @ LYNHAR RD/STAFFORD RD (0000155),155,02 - Intersection related,02 - Non-fatal injury,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,01 - Minimal,1,1,,,,358137.686,5021086.374,45.32769971,-75.81957028,74
18--10235,10/1/2018,3:07 PM,WEST HUNT CLUB RD @ ROYDON PL/SUNDERLAND ST (0009775),9775,03 - At intersection,02 - Non-fatal injury,05 - Turning movement,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,01 - Minimal,1,1,,,,365973.7625,5022169.676,45.33680788,-75.71948016,75
18--10236,10/1/2018,3:15 PM,WALKLEY EXTENSION RD btwn HWY417 IC110 RAMP65 & HWY417 IC110 RAMP56 (__3ZAZE6),__3ZAZE6,07 - Overpass or bridge,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,375833.9446,5029092.536,45.39816749,-75.59269289,76
18--10237,10/1/2018,3:16 PM,MEADOWLANDS DR/PETER ST @ PERRY ST (0001114),1114,02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,364439.2745,5023493.627,45.34885275,-75.73889742,77
18--10238,10/1/2018,3:30 PM,HIGHWAY 417 btwn HWY417 IC134 RAMP61 & HWY417 IC131 RAMP66 (__3ZA297),__3ZA297,01 - Non intersection,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,357301.5783,5022656.998,45.34189535,-75.83006916,78
18--10239,10/1/2018,3:31 PM,MAITLAND AVE/HWY 417 MAITLAND IC126R53 @ HWY 4 (0008229),8229,03 - At intersection,03 - P.D. only,05 - Turning movement,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,363229.6432,5025774.375,45.3694765,-75.75406351,79
18--1024,1/18/2018,9:03 AM,OLD ST. PATRICK ST btwn BEAUSOLEIL DR & PATRO ST (__3ZA7D2),__3ZA7D2,04 - At/near private drive,02 - Non-fatal injury,07 - SMV other,01 - Clear,01 - Daylight,02 - Wet,10 - No control,,1,0,0,1,02 - Minor,1,,1,,,368629.6293,5033053.6,45.43450162,-75.68418968,80
18--10240,10/1/2018,3:45 PM,HALKIRK AVE btwn KINCARDINE DR & NAIRN ST (__3ZAZ86),__3ZAZ86,04 - At/near private drive,02 - Non-fatal injury,05 - Turning movement,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,01 - Minimal,1,1,,,,352374.0081,5016927.457,45.29069116,-75.89349247,81
