INTERSECTION,CAMERA_INSTALL_YEAR,LATITUDE,LONGITUDE,X,Y,CAMERA_FACING,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL_VIOLATIONS,HIGHEST_MONTHLY_TOTAL,FID
BRONSON @ CARLING / GLEBE,2001,45.4010009738649,-75.6996543149848,367456.7071,5029318.5581,Southbound,19,0,1,1,55,65,65,75,47,N/A,63,105,496,105,32
COVENTRY / OGILVIE @ ST. LAURENT ,2001,45.4242409019617,-75.6373616071852,372305.7211,5031951.574,Northbound,18,9,25,19,44,39,41,34,4,N/A,N/A,N/A,233,44,33
HAZELDEAN / ROBERTSON @ EAGLESON,2001,45.3040723481689,-75.8767774519143,353673.6249,5018424.46,Southbound,7,6,9,8,11,24,26,23,16,15,20,20,185,26,34
BERRIGAN @ WESSEX / GREENBANK,2016,45.2749753012558,-75.74900598571,363723.6849,5015276.4359,Northbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,35
ST. JOSEPH @ OLD TENTH LINE ,2018,45.4846002755224,-75.4981034143561,383119.7471,5038785.5871,Eastbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,36
CATHERINE @ KENT,2017,45.4087885189798,-75.6937826888553,367907.7071,5030188.5649,Northbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,37
BANK @ RIVERSIDE S. ,2017,45.3880203388791,-75.6762373708842,369304.7159,5027894.5449,Northbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,38
KIRKWOOD @ COLDREY,2017,45.3816311944178,-75.7384651068835,364438.6959,5027136.54,Northbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,39
GLADSTONE @ ROCHESTER,2017,45.4052915663227,-75.7097367170391,366662.703,5029787.563,Westbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,40
BAY @ SLATER,2018,45.4168792651903,-75.7054736582065,366983.7019,5031078.574,Eastbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,41
BRONSON @ POWELL,2017,45.4024346708227,-75.700513271232,367387.8789,5029477.214,Southbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,42
ELGIN @ SLATER,2018,45.4219087908478,-75.6938132193261,367890.7049,5031646.5789,Eastbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,43
KENT @ ARLINGTON,2018,45.4094128847803,-75.6942720468272,367868.7071,5030257.566,Northbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,44
AVIATION PARKWAY @ MONTREAL,2017,45.4436640643479,-75.6390982160083,372146.7151,5034108.594,Eastbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,45
PRINCE OF WALES @ HOGS BACK / MEADOWLANDS,2017,45.3683910162106,-75.701196779667,367371.9189,5025693.477,Northbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,46
MURRAY @ SUSSEX,2018,45.428654804103,-75.6960581665855,367707.526,5032394.497,Northbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,47
FALLOWFIELD @ CEDARVIEW,2017,45.278665922032,-75.7799175968818,361294.6699,5015664.437,Westbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,48
INNES @ ORLEANS,2017,45.4445034213538,-75.5328037773343,380460.7951,5034296.403,Southbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,49
WALKLEY @ GLENHAVEN / ANAND,2017,45.3697339793582,-75.6649473621259,370209.861,5025871.5306,Eastbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,50
ST. JOSEPH @ TENTH LINE ,2018,45.4835540625567,-75.501050576241,382890.809,5038666.4529,Eastbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,51
HERON @ 155m W OF BANK ,2017,45.3784036006976,-75.6694586450074,369846.5513,5026831.3114,Eastbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,52
TENTH LINE @ VANGUARD,2017,45.4583391526192,-75.4863795114455,384073.031,5035878.694,Northbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,53
HAWTHORNE @ LEITRIM ,2017,45.3406130237996,-75.5782393258675,377038.7589,5022709.5011,Northbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,54
LYON @ SLATER,2018,45.417535,-75.703944,367102.703,5031152.5751,Southbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,55
