,CAMERA_INSTALL_YEAR,LATITUDE,LONGITUDE,X,Y,CAMERA_FACING,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL_VIOLATIONS,HIGHEST_MONTHLY_TOTAL,FID
DUFORD / PLACE D'ORLEANS @ ST JOSEPH,2010,45.47762664,-75.51259116,381996.7441,5037996.587,Westbound,32,36,41,44,46,89,79,86,83,63,53,49,701,89,17
BERRIGAN @ WESSEX / GREENBANK,2010,45.2749753,-75.74900599,363723.6849,5015276.436,Southbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,18
HOLLAND & ISLAND PARK @ NCC DRIVEWAY,2010,45.38857382,-75.72576713,365425.7,5027917.547,Southbound,76,36,85,61,68,70,79,57,53,45,60,59,749,85,19
CONROY @ LORRY GREENBERG ,2010,45.36947236,-75.62207744,373568.186,5025878.183,Southbound,34,24,26,41,51,59,58,42,42,49,40,34,500,59,20
AVIATION PARKWAY @ OGILVIE ,2010,45.42798671,-75.62701694,373110.723,5032376.576,Westbound,7,17,8,14,24,31,20,35,20,15,26,20,237,35,21
ELGIN / PRETORIA BRIDGE @ QUEEN ELIZABETH,2010,45.41131111,-75.68406267,368665.7101,5030476.567,Eastbound,59,66,73,59,65,87,57,57,87,67,65,48,790,87,22
FISHER @ MEADOWLANDS,2010,45.36263085,-75.71144959,366575.0649,5025045.446,Southbound,54,51,54,52,73,83,71,79,51,87,64,46,765,87,23
SAUNDERSON @ SMYTH,2011,45.40054791,-75.63148873,372793.729,5029323.552,Eastbound,24,33,37,47,58,53,44,27,55,38,29,29,474,58,24
JOCKVALE @ STRANDHERD,2011,45.26870306,-75.75116853,363560.4819,5014577.85,Eastbound,22,16,13,23,43,61,76,50,72,74,38,31,519,76,25
BLAIR @ REGIONAL RD 174 W.,2011,45.43336965,-75.60745592,374634.7279,5032991.577,Eastbound,13,12,17,24,39,60,35,46,24,0,26,16,312,60,26
ALBERT @ KENT,2001,45.41902653,-75.70240246,367221.703,5031319.576,Northbound,N/A,N/A,4,23,35,50,37,46,52,59,45,27,378,59,27
KING EDWARD @ ST. ANDREW ,2012,45.43379539,-75.68991198,368182.703,5032970.591,Northbound,73,40,62,44,58,148,59,129,133,142,122,93,1103,148,28
MERIVALE @ MEADOWLANDS,2001,45.35090342,-75.73351715,364858.6981,5023725.511,Northbound,31,39,27,24,40,48,49,69,52,61,54,60,554,69,29
HERON @ RIVERSIDE ,2001,45.37677184,-75.69148988,368122.926,5026632.41,Eastbound,27,30,27,58,68,93,76,66,71,70,70,70,726,93,30
CARLING @ RICHMOND,2001,45.36078523,-75.79226646,360245.6751,5024781.518,Westbound,45,44,41,61,105,130,140,122,108,107,92,32,1027,140,31
BRONSON @ CARLING / GLEBE,2001,45.40100097,-75.69965431,367456.7071,5029318.558,Southbound,24,4,55,78,120,158,179,106,139,120,123,57,1163,179,32
COVENTRY / OGILVIE @ ST. LAURENT ,2001,45.4242409,-75.63736161,372305.7211,5031951.574,Northbound,10,12,20,28,32,44,40,51,72,66,57,60,492,72,33
HAZELDEAN / ROBERTSON @ EAGLESON,2001,45.30407235,-75.87677745,353673.6249,5018424.46,Southbound,10,11,8,23,31,38,29,33,49,37,38,27,334,49,34
BERRIGAN @ WESSEX / GREENBANK,2016,45.2749753,-75.74900599,363723.6849,5015276.436,Northbound,22,66,74,50,56,98,77,95,66,78,75,86,843,98,35
ST. JOSEPH @ OLD TENTH LINE ,2018,45.48460028,-75.49810341,383119.7471,5038785.587,Eastbound,28,11,21,19,27,50,37,N/A,N/A,N/A,N/A,N/A,193,50,36
CATHERINE @ KENT,2017,45.40878852,-75.69378269,367907.7071,5030188.565,Northbound,N/A,N/A,N/A,N/A,N/A,N/A,103,141,207,145,87,95,778,207,37
BANK @ RIVERSIDE S. ,2017,45.38802034,-75.67623737,369304.7159,5027894.545,Northbound,N/A,N/A,N/A,N/A,N/A,167,132,205,200,183,156,152,1195,205,38
KIRKWOOD @ COLDREY,2017,45.38163119,-75.73846511,364438.6959,5027136.54,Northbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,160,110,120,390,160,39
GLADSTONE @ ROCHESTER,2017,45.40529157,-75.70973672,366662.703,5029787.563,Westbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,45,33,80,45,40
BAY @ SLATER,2018,45.41687927,-75.70547366,366983.7019,5031078.574,Eastbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,41
BRONSON @ POWELL,2017,45.40243467,-75.70051327,367387.8789,5029477.214,Southbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23,23,23,42
ELGIN @ SLATER,2018,45.42190879,-75.69381322,367890.7049,5031646.579,Eastbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,43
KENT @ ARLINGTON,2018,45.40941288,-75.69427205,367868.7071,5030257.566,Northbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,44
AVIATION PARKWAY @ MONTREAL,2017,45.44366406,-75.63909822,372146.7151,5034108.594,Eastbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46,39,18,103,46,45
PRINCE OF WALES @ HOGS BACK / MEADOWLANDS,2017,45.36839102,-75.70119678,367371.9189,5025693.477,Northbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24,53,48,50,175,53,46
MURRAY @ SUSSEX,2018,45.4286548,-75.69605817,367707.526,5032394.497,Northbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,47
FALLOWFIELD @ CEDARVIEW,2017,45.27866592,-75.7799176,361294.6699,5015664.437,Westbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16,31,20,67,31,48
INNES @ ORLEANS,2017,45.44450342,-75.53280378,380460.7951,5034296.403,Southbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,27,14,47,27,49
WALKLEY @ GLENHAVEN / ANAND,2017,45.36973398,-75.66494736,370209.861,5025871.531,Eastbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,110,154,106,370,154,50
ST. JOSEPH @ TENTH LINE ,2018,45.48355406,-75.50105058,382890.809,5038666.453,Eastbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,51
HERON @ 155m W OF BANK ,2017,45.3784036,-75.66945865,369846.5513,5026831.311,Eastbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,217,379,230,826,379,52
TENTH LINE @ VANGUARD,2017,45.45833915,-75.48637951,384073.031,5035878.694,Northbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,57,99,93,249,99,53
HAWTHORNE @ LEITRIM ,2017,45.34061302,-75.57823933,377038.7589,5022709.501,Northbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,7,7,21,7,54
LYON @ SLATER,2018,45.417535,-75.703944,367102.703,5031152.575,Southbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,55
