Datetime,Tweet Id,Text,Username,Dates,Time,Collision,Slow,Accident,Closure,Lane Reduction,Ramp
2021-11-30 12:28:10+00:00,1.47E+18,"COLLISION OR SOMETHING: Bank Street, north of Greely. #otttraffic",cbcotttraffic,2021-11-30,12:28,yes,no,no,no,no,no
2021-11-29 13:03:15+00:00,1.47E+18,"MTO reports 2 collisions on the 417 just west of downtown -- one is EB at Parkdale on the left shoulder, the other WB at Island Park to the right. #OttTraffic",cbcotttraffic,2021-11-29,13:03,yes,no,no,no,no,no
2021-11-29 11:43:13+00:00,1.47E+18,Another broken water main this morning is on Granville Street in Vanier between Shakespeare and St-Denis streets. More residential and less busy than St. Laurent. #OttTraffic,cbcotttraffic,2021-11-29,11:43,no,no,yes,no,no,no
2021-11-29 11:21:27+00:00,1.47E+18,"The city reports a broken water main near St. Laurent and Lancaster/Smyth, near the museum. St. Laurent is closed northbound for a block from Lancaster/Smyth to Bourassa. #OttBike #OttTraffic",cbcotttraffic,2021-11-29,11:21,no,no,yes,yes,no,no
2021-11-26 13:15:42+00:00,1.46E+18,EMERGENCY VEHICLES: Lots of them. On the Sir JAM Pkwy near Westboro Beach. #Otttraffic #OttBike,cbcotttraffic,2021-11-26,13:15,no,no,no,no,no,no
2021-11-25 21:55:26+00:00,1.46E+18,COLLISION: Rear-ender involving a tractor-trailer on the westbound 417 at maitland. #OttTraffic,cbcotttraffic,2021-11-25,21:55,yes,no,no,no,no,no
2021-11-25 21:16:24+00:00,1.46E+18,COLLISION: Northbound Bronson at Holmwood #otttraffic,cbcotttraffic,2021-11-25,21:16,yes,no,no,no,no,no
2021-11-25 21:09:29+00:00,1.46E+18,COLLISION: Eastbound 174 between Mtl Rd and Jeanne D'Arc. #otttraffic,cbcotttraffic,2021-11-25,21:09,yes,no,no,no,no,no
2021-11-24 22:18:08+00:00,1.46E+18,COLLISION: Wellington in front of the Supreme Court. rear-ender. #otttraffic,cbcotttraffic,2021-11-24,22:18,yes,no,no,no,no,no
2021-11-24 22:14:48+00:00,1.46E+18,COLLISION: Rideau Rd between Hawthorne and Bank. Two vehicles. Police and firefighters there. Heavy westbound. #otttraffic,cbcotttraffic,2021-11-24,22:14,yes,no,yes,no,no,no
2021-11-24 22:12:06+00:00,1.46E+18,COLLISION: Innes at Bantree #otttraffic,cbcotttraffic,2021-11-24,22:12,yes,no,no,no,no,no
2021-11-19 22:30:45+00:00,1.46E+18,COLLISION: Westbound 417 at Nicholas. Backed up to Vanier Pkwy #OttTraffic,cbcotttraffic,2021-11-19,22:30,yes,no,no,no,no,no
2021-11-19 21:15:20+00:00,1.46E+18,COLLISION: Rear-ender on the bit taking you to Cedarview from Hunt Club to get to the 416. Vehicles blocking lane. #otttraffic,cbcotttraffic,2021-11-19,21:15,yes,no,no,no,no,no
2021-11-18 12:29:31+00:00,1.46E+18,COLLISION: Southbound Montee de la source near Cantley IGA. Two car crash Taking half of the road.  #OttTraffic,cbcotttraffic,2021-11-18,12:29,yes,no,no,no,no,no
2021-11-16 12:41:49+00:00,1.46E+18,COLLISION: Leitrim at Hawthorne. Tractor-trailer carrying heavy equipment vs car. Avoid eastbound Leitrim. #otttraffic,cbcotttraffic,2021-11-16,12:41,yes,no,no,no,no,no
2021-11-16 11:16:42+00:00,1.46E+18,COLLISION: Westbound 417 at Rockdale Rd. That's the Vars exit. #otttraffic,cbcotttraffic,2021-11-16,11:16,yes,no,no,no,no,no
2021-11-12 21:18:43+00:00,1.46E+18,COLLISION: Leitrim and Bantree. #otttraffic,cbcotttraffic,2021-11-12,21:18,yes,no,no,no,no,no
2021-11-12 19:22:20+00:00,1.46E+18,COLLISION: Eastbound 417 at Parkdale. Just happened. #otttraffic,cbcotttraffic,2021-11-12,19:22,yes,no,no,no,no,no
2021-11-12 11:37:36+00:00,1.46E+18,LIGHTS OUT: Traffic signals not working on St-Louis near the 50. Treat as all-way stop. #otttraffic,cbcotttraffic,2021-11-12,11:37,no,no,no,no,no,no
2021-11-12 11:20:40+00:00,1.46E+18,DANGER: Car into guardrail on eastbound 417 after Carling. No flashers on. Visibility is poor. #otttraffic,cbcotttraffic,2021-11-12,11:20,no,no,no,no,no,no
2021-11-10 21:10:27+00:00,1.46E+18,COLLISION: Three vehicles involved or stopped. Westbound Walkley east of Heatherington near the Drive Test place #Otttraffic,cbcotttraffic,2021-11-10,21:10,yes,no,no,no,no,no
2021-11-10 20:57:12+00:00,1.46E+18,COLLISION: Westbound Innes approaching Blair. Car vs dump truck #Otttraffic,cbcotttraffic,2021-11-10,20:57,yes,no,no,no,no,no
2021-11-10 13:09:35+00:00,1.46E+18,CAR ON FIRE: Two kms east of Carleton Place on Hwy. 7. Lots of gawkers. Eastbound traffic affected. Car is on right shoulder. #Otttraffic,cbcotttraffic,2021-11-10,13:09,no,no,no,no,no,no
2021-11-10 12:35:26+00:00,1.46E+18,COLLISION: Westbound 17/174 at Canaan Rd. OPP there. #Otttraffic,cbcotttraffic,2021-11-10,12:35,yes,no,no,no,no,no
2021-11-10 11:11:21+00:00,1.46E+18,"WATERMAIN BREAK: Carling Avenue between Aaron Avenue and Iroquois Road in Carlingwood.
Road closures are in effect for eastbound and westbound lanes on Iroquois Road. #Otttraffic",cbcotttraffic,2021-11-10,11:11,no,no,no,yes,no,no
2021-11-09 20:41:39+00:00,1.46E+18,"COLLISION: Eastbound 417 at Pinecrest, far left lane, shoulder. #Otttraffic",cbcotttraffic,2021-11-09,20:41,yes,no,no,no,no,no
2021-11-09 12:21:30+00:00,1.46E+18,CLOSED: River Rd from Mitch Owens to Roger Steven from Nov. 12 to... ? #Otttraffic,cbcotttraffic,2021-11-09,12:21,no,no,no,yes,no,no
2021-11-05 10:32:47+00:00,1.46E+18,SERIOUS DEBRIS: Metal grate or piece of industrial walkway. 3-feet across. Eastbound 417 between Bayshore and Pinecrest. Trucker called me after he hit it. Can't see it. #otttraffic,cbcotttraffic,2021-11-05,10:32,no,no,no,no,no,no
2021-11-04 21:03:41+00:00,1.46E+18,COLLISION: Westbound Walkley at Baycrest. #otttraffic,cbcotttraffic,2021-11-04,21:03,yes,no,no,no,no,no
2021-11-03 21:12:39+00:00,1.46E+18,"NEW STOP SIGN BADNESS: Laperriere and McBride, near Kirkwood, Clyde. Causing all kinds of near misses. #OttTraffic",cbcotttraffic,2021-11-03,21:12,no,no,no,no,no,no
2021-11-03 19:33:36+00:00,1.46E+18,401 CRAWLING: Eastbound east of Napanee headed towards KIigston. Due to construction. #OttTraffic,cbcotttraffic,2021-11-03,19:33,no,yes,no,no,no,no
2021-11-02 20:41:28+00:00,1.46E+18,"SNOW SQUALL: That's what the caller said. 417 at the March Rd Almonte exit. Caused a spin-out collision there, too -- eastbound. #OttTraffic",cbcotttraffic,2021-11-02,20:41,yes,no,yes,no,no,no
2021-11-02 19:10:24+00:00,1.46E+18,SLOW: Police have someone stopped on the Gatineau-bound Macdonald-Cartier bridge. #OttTraffic,cbcotttraffic,2021-11-02,19:10,no,yes,no,no,no,no
2021-11-02 11:20:05+00:00,1.46E+18,"COLLISION: On ramp going from westbound 50 to s/b Hwy. 5. As many as 10 vehicles involved or stopped, including tractor-trailer. #OttTraffic",cbcotttraffic,2021-11-02,11:20,yes,no,no,no,no,yes
2021-11-02 10:29:10+00:00,1.46E+18,COLLISION: Westbound 417 between Anderson and Hunt Club. #Otttraffic,cbcotttraffic,2021-11-02,10:29,yes,no,no,no,no,no
2021-11-01 20:30:29+00:00,1.46E+18,POWER OUT: Kanata North. Carling and Teron area near the Metro. Treat affected intersections as all-way stops. #otttraffic,cbcotttraffic,2021-11-01,20:30,no,no,no,no,no,no
2021-11-01 19:27:22+00:00,1.46E+18,"WEEKEND RIDE PROGRAM: Ottawa police stopped 250 vehicles on the weekend and charged 16 people with impaired driving related offences. Of the drivers charged, three were found to be impaired by drugs. Five incidents involved collisions. #ottnews #Otttraffic",cbcotttraffic,2021-11-01,19:27,yes,no,no,no,no,no
2021-11-01 10:36:14+00:00,1.46E+18,"KANATA: Teron Road, from Chisholm Court to Bethune Way, closed to traffic until mid-December for culvert installation. Local traffic, pedestrian and cycling access will be maintained and signed detour will be in place. Busses in the area will be on detour. #Otttraffic #otttransit",cbcotttraffic,2021-11-01,10:36,no,no,no,yes,no,no
2021-10-28 20:41:25+00:00,1.45E+18,COLLISION: Eastbound 417 near the Limoges exit. Stopped. #Otttraffic #ONHwys,cbcotttraffic,2021-10-28,20:41,yes,no,no,no,no,no
2021-10-28 11:38:56+00:00,1.45E+18,COLLISION: Westbound Ogilvie near the CSIS building and Chapters. #otttraffic,cbcotttraffic,2021-10-28,11:38,yes,no,no,no,no,no
2021-10-28 10:30:36+00:00,1.45E+18,KIRKWOOD: Section blocked by emergency vehicles between Carling and Richmond rd. #otttraffic,cbcotttraffic,2021-10-28,10:30,no,no,no,yes,no,no
2021-10-27 19:56:07+00:00,1.45E+18,HAZARD: Someone changing a tire on the ramp for Maitland from the westbound 417. #Otttraffic,cbcotttraffic,2021-10-27,19:56,no,no,no,no,no,yes
2021-10-27 11:07:03+00:00,1.45E+18,DITCHED: School bus ditched on southbound Franktown Rd towards Dwyer Hill Rd. South of Richmond.  #otttraffic,cbcotttraffic,2021-10-27,11:07,no,no,yes,no,no,no
2021-10-27 09:55:51+00:00,1.45E+18,"NO FULL LRT UNTIL END OF NOVEMBER: Rideau Transit Group  has informed the City that full-service resumption is anticipated by Monday, November 29. derailment happened Sept. 19. #otttransit #otttraffic #ottnews",cbcotttraffic,2021-10-27,9:55,no,no,no,no,no,no
2021-10-22 21:14:07+00:00,1.45E+18,LIMEBANK: Traffic diverted both directions onto River Rd. after earlier collision. #OttTraffic,cbcotttraffic,2021-10-22,21:14,yes,no,no,no,no,no
2021-10-20 19:31:39+00:00,1.45E+18,"DITCHED, ON FIRE: There's a smoking car in the right ditch of the southbound 416 at the Oxford Station exit. Police there. Traffic stopped. #otttraffic",cbcotttraffic,2021-10-20,19:31,no,no,yes,no,no,no
2021-10-19 21:01:51+00:00,1.45E+18,LOTS OF POLICE: Brookfield near Flannery. Brookfield HS area. #otttraffic #ottnews,cbcotttraffic,2021-10-19,21:01,no,no,no,no,no,no
2021-10-19 10:39:45+00:00,1.45E+18,"DITCHED: There's a car off the road, and police there, on eastbound Hwy. 7 west of Ashton Stn. Right-side ditch, headed towards Ottawa.  #otttraffic",cbcotttraffic,2021-10-19,10:39,no,no,yes,no,no,no
2021-10-18 11:35:39+00:00,1.45E+18,COLLISION: Westbound 50 at ramp for the southbound 5. #otttraffic,cbcotttraffic,2021-10-18,11:35,yes,no,no,no,no,yes
2021-10-14 17:59:27+00:00,1.45E+18,SLOW DOWN: City of Ottawa will add 15 new Automated Speed Enforcement cameras in school zones over the next year. #otttraffic #ottawalk #ottnews #ottbike,cbcotttraffic,2021-10-14,17:59,no,yes,no,no,no,no
2021-10-13 21:09:33+00:00,1.45E+18,HAZARD: Stopped truck in the intersection of Innes and Star Top. #otttraffic,cbcotttraffic,2021-10-13,21:09,no,no,no,no,no,no
2021-10-13 19:55:55+00:00,1.45E+18,COLLISION: Northbound Prince of Wales north of Hunt Club. Fluid on the road. #otttraffic,cbcotttraffic,2021-10-13,19:55,yes,no,no,no,no,no
2021-10-13 19:07:19+00:00,1.45E+18,"KINGSTON: Westbound 401 closed from Kingston to Odessa. A great deal of misery there. Also, the 38 is stop &amp; go from the 401 north to Mud Lake Rd. #otttraffic #ONHwys",cbcotttraffic,2021-10-13,19:07,no,yes,no,yes,no,no
2021-10-13 11:27:22+00:00,1.45E+18,COLLISION: Westbound 50 at Lorrain. #otttraffic,cbcotttraffic,2021-10-13,11:27,yes,no,no,no,no,no
2021-10-13 10:22:37+00:00,1.45E+18,NEWS FLASH: Traffic signals flashing at Bank &amp; Wellington. Treat as all-way stop. #otttraffic,cbcotttraffic,2021-10-13,10:22,no,no,no,no,no,no
2021-10-06 09:52:05+00:00,1.45E+18,"COLLISION: South March/Kanata Lakes. Near Goulbourn Forced Rd and Innovation Dr.
Goulbourn Forced Rd may still be closed from Innovation Dr to Keyrock Dr. for investigation. #OttTraffic",cbcotttraffic,2021-10-06,9:52,yes,no,no,yes,no,no
2021-10-05 10:41:07+00:00,1.45E+18,"417 AT HIGHLAND ROAD: OPP there, some officers on top of cruisers, seemingly looking for someone in the cornfield. Visual distraction certainly. #OttTraffic #ottnews #ONHwys",cbcotttraffic,2021-10-05,10:41,no,no,no,no,no,no
2021-10-04 20:13:17+00:00,1.45E+18,"STITTSVILLE/KANATA: Collision and traffic diverted on Fernbank at Robert Grant roundabout, between Terry Fox and Shea. Avoid. #Otttraffic",cbcotttraffic,2021-10-04,20:13,yes,no,no,no,no,no
2021-10-04 19:32:23+00:00,1.45E+18,THANKSGIVING PARKING: All parking restrictions will remain in effect. Unsigned overtime restrictions have a six-hour limit on statutory holidays. #Otttraffic,cbcotttraffic,2021-10-04,19:32,no,no,no,no,no,no
2021-10-04 10:40:11+00:00,1.44E+18,COLLISION: Mitch Owens near Bank Street. Seems quite serious. Emergency crews there.  #Otttraffic,cbcotttraffic,2021-10-04,10:40,yes,no,no,no,no,no
2021-10-01 11:46:22+00:00,1.44E+18,GOOSE: Apparently there's a goose on the westbound 417 near the Vanier Pkwy. #Otttraffic,cbcotttraffic,2021-10-01,11:46,no,no,no,no,no,no
2021-09-30 20:24:12+00:00,1.44E+18,"COLLISION: Southbound 10th Line, south of Charlemagne near Dollarama. #Otttraffic",cbcotttraffic,2021-09-30,20:24,yes,no,no,no,no,no
2021-09-30 10:21:01+00:00,1.44E+18,"HINTONBURG: Broken down OC Transpo bus, lost oil along Parkdale Avenue. Stopped, apparently loudly, at Parkdale &amp; Spencer near Carleton Tavern and is still blocking northbound lane #Otttraffic",cbcotttraffic,2021-09-30,10:21,no,no,yes,no,no,no
2021-09-29 20:37:31+00:00,1.44E+18,"NAME CHANGE AFOOT: Kanata Pedestrian Bridge to be renamed to honour Marianne Wilkinson. Ceremony oct. 1st. Former Kanata mayor, long time regional and city councillor. #Otttraffic #ottwalk #ottbike",cbcotttraffic,2021-09-29,20:37,no,no,no,no,no,no
2021-09-29 12:01:27+00:00,1.44E+18,BROKEN-DOWN SCHOOL BUS: Westbound 417 near Carling. Right side. #Otttraffic,cbcotttraffic,2021-09-29,12:01,no,no,no,no,no,no
2021-09-28 20:41:34+00:00,1.44E+18,COLLISION: Lees near the transit station. Pole down there. Police directing traffic. #Otttraffic,cbcotttraffic,2021-09-28,20:41,yes,no,no,no,no,no
2021-09-24 19:11:31+00:00,1.44E+18,"ICYMI: Colonel By Drive, between Avenue Road and Mount Pleasant Avenue, is closed to motor vehicles from until Halloween. #Otttraffic",cbcotttraffic,2021-09-24,19:11,no,no,no,yes,no,no
2021-09-24 18:54:39+00:00,1.44E+18,AFTERNOON DE-LIGHT: Traffic signals flashing on Boul des Allumettieres at the ramp to the eastbound 50. Treat as all-way stop. #otttraffic,cbcotttraffic,2021-09-24,18:54,no,no,no,no,no,yes
2021-09-24 11:47:57+00:00,1.44E+18,SLOW: Broken-down OC Transpo bus on westbound Fernbank approaching Stittsville Main. (thanks @hellachella ) #otttraffic,cbcotttraffic,2021-09-24,11:47,no,yes,yes,no,no,no
2021-09-24 10:30:38+00:00,1.44E+18,MERIVALE/PRINCE OF WALES: Emergency vehicles there. Barrhaven. #otttraffic,cbcotttraffic,2021-09-24,10:30,no,no,no,no,no,no
2021-09-23 12:27:00+00:00,1.44E+18,FLASH! AHH-HAAA! Traffic signals flashing at Boul des Allumettieres and Wilfred-Lavigne in Aylmer. Treat as all-way stop. Backed up eastbound. #otttraffic,cbcotttraffic,2021-09-23,12:27,no,no,no,no,no,no
2021-09-22 12:05:05+00:00,1.44E+18,"POWER OUT: Somerset, Bay, Mcleod, Kent, Bronson, Lyon area.
Affecting traffic signals. Treat as all-way stop. Be late. Be patient. Breathe. #otttraffic #ottnews #ottbike",cbcotttraffic,2021-09-22,12:05,no,no,no,no,no,no
2021-09-20 20:50:16+00:00,1.44E+18,COLLISION: Eastbound Innes at the Walmart before Jeanne D'Arc. #otttraffic,cbcotttraffic,2021-09-20,20:50,yes,no,no,no,no,no
2021-09-20 20:49:00+00:00,1.44E+18,COLLISION: Northbound Riverside at Hunt Club. Firefighters there. #otttraffic,cbcotttraffic,2021-09-20,20:49,yes,no,no,no,no,no
2021-09-20 10:02:42+00:00,1.44E+18,HALF MOON: Greenbank off-peak lane reductions at Half Moon Bay Rd today until November for roundabout construction. Watch for signs and flagging. Pedestrian and cyclist access will be maintained. #otttraffic #ottbike #ottnews,cbcotttraffic,2021-09-20,10:02,no,no,no,no,yes,no
2021-09-16 09:44:21+00:00,1.44E+18,"AYLMER: Street closures and parking bans will be in effect starting today in Aylmer for the Tour de Gatineau cycling event.
Parking bans will be in effect until Monday on certain streets. #otttraffic #ottbike",cbcotttraffic,2021-09-16,9:44,no,no,no,yes,no,no
2021-09-15 20:10:08+00:00,1.44E+18,SOMETHING'S UP: Queensway transit station near Woodroffe. Special constables there. #otttraffic,cbcotttraffic,2021-09-15,20:10,no,no,no,no,no,no
2021-09-14 20:05:32+00:00,1.44E+18,CAR FIRE: Manotick Stn Rd just north of Snake Island Rd. near the turf farm. Police and firefighters there. #otttraffic,cbcotttraffic,2021-09-14,20:05,no,no,yes,no,no,no
2021-09-14 11:53:23+00:00,1.44E+18,COLLISION: Westbound 50 between Lorrain and Labrosse. #otttraffic,cbcotttraffic,2021-09-14,11:53,yes,no,no,no,no,no
2021-09-13 10:03:14+00:00,1.44E+18,"SLOW: Hwy. 17 slow both directions and backed up, east of Renfrew. #otttraffic #ONHwys",cbcotttraffic,2021-09-13,10:03,no,yes,no,no,no,no
2021-09-10 11:35:24+00:00,1.44E+18,DITCHED: Vehicle off the road on Leitrim between Limebank and Albion #Otttraffic,cbcotttraffic,2021-09-10,11:35,no,no,yes,no,no,no
2021-09-08 19:39:40+00:00,1.44E+18,COLLISION: Aylmer-bound Champlain Bridge just at the shoreline in Gatineau #otttraffic,cbcotttraffic,2021-09-08,19:39,yes,no,no,no,no,no
2021-09-08 19:10:47+00:00,1.44E+18,"COLLISION: Southbound Bank at Hero, near the Canadian Tire, gas bar etc #otttraffic",cbcotttraffic,2021-09-08,19:10,yes,no,no,no,no,no
2021-09-08 12:02:31+00:00,1.44E+18,HIGH SCHOOL CONFIDENTIAL: Abbott is stop &amp; go between Stittsville Main and Sacred Heart HS. #Otttraffic,cbcotttraffic,2021-09-08,12:02,no,yes,no,no,no,no
2021-09-08 10:16:43+00:00,1.44E+18,LANE REDUX: Westbound 174 after Montreal Rd. #Otttraffic,cbcotttraffic,2021-09-08,10:16,no,no,no,no,no,no
2021-09-03 20:59:38+00:00,1.43E+18,COLLISION: Ch d'Aylmer just west of Place Samuel de Champlain. #otttraffic,cbcotttraffic,2021-09-03,20:59,yes,no,no,no,no,no
2021-09-03 20:04:12+00:00,1.43E+18,AFTERNOON DE-LIGHT: Intersection of Hwy. 17 and O'Brien Rd in Renfrew. Holiday long weekend. Trans-Canada highway. No fun. #Otttraffic #ONHwys,cbcotttraffic,2021-09-03,20:04,no,no,no,no,no,no
2021-09-03 11:42:05+00:00,1.43E+18,COLLISION: In Barrhaven at Marketplace and Longfields #Otttraffic,cbcotttraffic,2021-09-03,11:42,yes,no,no,no,no,no
2021-09-02 19:14:25+00:00,1.43E+18,"BELLS CORNERS: Traffic very slow, with police directing at intersection of Moodie &amp; Robertson #otttraffic",cbcotttraffic,2021-09-02,19:14,no,yes,no,no,no,no
2021-09-02 19:13:05+00:00,1.43E+18,COLLISION: Intersection of Carling and Kirkwood #otttraffic,cbcotttraffic,2021-09-02,19:13,yes,no,no,no,no,no
2021-08-31 20:02:04+00:00,1.43E+18,COLLISION: Intersection of Conroy and Davidson. Conroy blocked. #Otttraffic,cbcotttraffic,2021-08-31,20:02,yes,no,no,yes,no,no
2021-08-31 19:37:07+00:00,1.43E+18,HEAVY METAL: Large piece of metal in the intersection of Hunt Club and Woodroffe. Might be trailer hitch assembly. #Otttraffic,cbcotttraffic,2021-08-31,19:37,no,no,no,no,no,no
2021-08-31 10:06:52+00:00,1.43E+18,LADDER ALERT: Trucker Joe tells me there's a 26-foot extension ladder in one of the middle lanes of the westbound 417 between Vanier Pkwy and Nicholas. #otttraffic,cbcotttraffic,2021-08-31,10:06,no,no,no,no,no,no
2021-08-30 20:35:38+00:00,1.43E+18,LANE REDXN: Broken-down car on eastbound Hunt Club at Hawthorne #otttraffic,cbcotttraffic,2021-08-30,20:35,no,no,yes,no,yes,no
2021-08-30 11:46:37+00:00,1.43E+18,TREE DOWN: Sussex near King Edward. #otttraffic,cbcotttraffic,2021-08-30,11:46,no,no,no,no,no,no
2021-08-30 11:41:45+00:00,1.43E+18,401: Closed near the Napanee OnRoute. Collision east of there near Odessa. #otttraffic #ONHwys,cbcotttraffic,2021-08-30,11:41,yes,no,no,yes,no,no
2021-08-30 10:31:30+00:00,1.43E+18,LIGHTS OUT: Hunt Club at Prince of Wales. Treat as all-way stop. #otttraffic,cbcotttraffic,2021-08-30,10:31,no,no,no,no,no,no
2021-08-27 21:34:22+00:00,1.43E+18,COLLISION: Northbound Bank at Riverside #OttTraffic,cbcotttraffic,2021-08-27,21:34,yes,no,no,no,no,no
2021-08-27 21:10:48+00:00,1.43E+18,COLLISION: Car vs firetruck. Earl Armstrong eastbound in front of the fire hall. #OttTraffic,cbcotttraffic,2021-08-27,21:10,yes,no,yes,no,no,no
2021-08-25 21:13:25+00:00,1.43E+18,TREE DOWN: On ramp for Sir John A Macdonald Pkwy from Carling. #OttTraffic,cbcotttraffic,2021-08-25,21:13,no,no,no,no,no,yes
2021-08-25 10:53:52+00:00,1.43E+18,COLLISION: Car into light standard on Ogilvie at Aviation. #OttTraffic,cbcotttraffic,2021-08-25,10:53,yes,no,no,no,no,no
2021-08-24 19:47:40+00:00,1.43E+18,"LYON, LYON PANTS ON FYON: The ramp to the w/b 417 is not, in fact, closed. Still open. When will it close? Was supposed to close yesterday at 6 p.m. I am confused, MTO. Why do you torture us so? What is even real anymore? #otttraffic",cbcotttraffic,2021-08-24,19:47,no,no,no,yes,no,yes
2021-08-24 19:35:58+00:00,1.43E+18,COLLISION: Westbound 417 just before St. Laurent. Car did a 360 in front of a tractor-trailer. Debris on the road. Got lucky. #otttraffic,cbcotttraffic,2021-08-24,19:35,yes,no,no,no,no,no
2021-08-24 19:22:42+00:00,1.43E+18,"CLOSED: Shea and Flewellyn is closed. Crews working there. No real warning of it, if you like that sneaky route to Stittsville from Richmond. #otttraffic",cbcotttraffic,2021-08-24,19:22,no,no,no,yes,no,no
2021-08-24 10:53:01+00:00,1.43E+18,ROLLOVER COLLISION: Southbound 416  between West Hunt Club and Barrhaven. #OttTraffic,cbcotttraffic,2021-08-24,10:53,yes,no,yes,no,no,no
2021-08-23 20:26:15+00:00,1.43E+18,COLLISION: Interchange of the eastbound 50 and the southbound 5. Two vehicles involved. #otttraffic,cbcotttraffic,2021-08-23,20:26,yes,no,no,no,no,no
2021-08-23 10:16:57+00:00,1.43E+18,417 CLOSED: Eastbound at Panmure Rd due to earlier collision #otttraffic,cbcotttraffic,2021-08-23,10:16,yes,no,no,yes,no,no
2021-08-21 13:33:44+00:00,1.43E+18,COLLISION: in Barrhaven at Merivale and Fallowfield. Debris there. #otttraffic,cbcotttraffic,2021-08-21,13:33,yes,no,no,no,no,no
2021-08-20 10:52:27+00:00,1.43E+18,COLLISION: Police still investigating overnight collision. Queen Elizabeth Driveway closed between Preston St. and Crescent Heights #otttraffic,cbcotttraffic,2021-08-20,10:52,yes,no,no,yes,no,no
2021-08-19 21:10:44+00:00,1.43E+18,COLLISION: Rideau Valley and Prince of Wales. Two vehicles. Lots of emergency vehicles. #otttraffic,cbcotttraffic,2021-08-19,21:10,yes,no,no,no,no,no
