Datetime,Tweet Id,Text,Username,Dates,Time,Type,Slow,Accident,Closure,Lane Reduction,Ramp
2021-12-23 13:16:02+00:00,1474005882027524106,"174 E/B reduced to 1 lane between Blair and Montreal/St-Joseph - construction. From 9am to 2pm on Thursday, December 23. #otttraffic",Ottawa_Traffic,2021-12-23,13:16:02,,,,,Lane Reduction,
2021-12-22 21:32:03+00:00,1473768318855221251,Rideau St W/B lane reduction between Wurtemburg and Charlotte - collision. Duration unknown. #otttraffic,Ottawa_Traffic,2021-12-22,21:32:03,Collision,,,,Lane Reduction,
2021-12-22 21:24:03+00:00,1473766305111199759,Strandherd W/B lane reductions at Fallowfield - disabled vehicle. Duration unknown. #otttraffic,Ottawa_Traffic,2021-12-22,21:24:03,,,,,Lane Reduction,
2021-12-22 20:20:02+00:00,1473750198010712068,Merivale N/B lane reduction at Hunt Club - collision. Duration unknown. #otttraffic,Ottawa_Traffic,2021-12-22,20:20:02,Collision,,,,Lane Reduction,
2021-12-22 15:48:02+00:00,1473681745585352720,(MTO) Highway 417 Eastbound HOV at PALLADIUM DR - Disabled Vehicle. All lanes closed. #otttraffic,Ottawa_Traffic,2021-12-22,15:48:02,,,,Closure,,
2021-12-22 13:48:02+00:00,1473651546210639878,"174 E/B reduced to 1 lane between Blair and Montreal/St-Joseph - construction. From 9:30am to 2pm on Wednesday, December 22. #otttraffic",Ottawa_Traffic,2021-12-22,13:48:02,,,,,Lane Reduction,
2021-12-22 13:28:03+00:00,1473646515654701057,"Update: Rideau St W/B closed between King Edward and Dalhousie, and E/B closed between Dalhousie and Cumberland - police operation. OPS directing traffic. Duration unknown. #otttraffic",Ottawa_Traffic,2021-12-22,13:28:03,,,,Closure,,
2021-12-22 13:24:02+00:00,1473645505444040720,Waller N/B closed at Besserer - police operation. OPS directing traffic. Duration unknown. #otttraffic,Ottawa_Traffic,2021-12-22,13:24:02,,,,Closure,,
2021-12-22 13:08:02+00:00,1473641479549726722,Update: Rideau St closed between King Edward and Dalhousie - police operation. OPS directing traffic. Duration unknown. #otttraffic,Ottawa_Traffic,2021-12-22,13:08:02,,,,Closure,,
2021-12-22 13:04:03+00:00,1473640477287137280,"174 E/B reduced to 1 lane at Trim - construction. From 8am to 2pm on Wednesday, December 22. #otttraffic",Ottawa_Traffic,2021-12-22,13:04:03,,,,,Lane Reduction,
2021-12-22 12:56:02+00:00,1473638460149968901,Rideau St W/B closed between King Edward and Dalhousie - police operation. OPS directing traffic. Duration unknown. #otttraffic,Ottawa_Traffic,2021-12-22,12:56:02,,,,Closure,,
2021-12-22 00:40:02+00:00,1473453241379737603,(MTO) Highway 417 Westbound at CARLING AVE / KIRKWOOD AVE - Collision. 3 right lanes and right shoulder closed. #otttraffic,Ottawa_Traffic,2021-12-22,00:40:02,Collision,,,Closure,,
2021-12-21 22:12:02+00:00,1473415996232896513,(MTO) Highway 417 Eastbound at JACKIE HOLZMAN BRIDGE - Collision. 2 right lanes and right shoulder closed. #otttraffic,Ottawa_Traffic,2021-12-21,22:12:02,Collision,,,Closure,,
2021-12-21 22:00:09+00:00,1473413004037349381,(MTO) Highway 417 Eastbound at JACKIE HOLZMAN BRIDGE - Collision. 1 right lane and right shoulder closed. #otttraffic,Ottawa_Traffic,2021-12-21,22:00:09,Collision,,,Closure,,
2021-12-21 21:32:03+00:00,1473405930419236870,Baseline W/B reduced to 1 lane at Navaho Dr - collision. OPS directing traffic. Duration unknown. #otttraffic,Ottawa_Traffic,2021-12-21,21:32:03,Collision,,,,Lane Reduction,
2021-12-21 20:24:02+00:00,1473388817235255304,Hunt Club E/B reduced to 1 lane between Riverside and Lindbergh - collision. Duration unknown. #otttraffic,Ottawa_Traffic,2021-12-21,20:24:02,Collision,,,,Lane Reduction,
2021-12-21 20:12:02+00:00,1473385796149329930,Bronson reduced to 1 lane in each direction between Gladstone and Arlington - unplanned construction. Duration unknown. #otttraffic,Ottawa_Traffic,2021-12-21,20:12:02,,,,,Lane Reduction,
2021-12-21 19:32:02+00:00,1473375729547161601,(MTO) Highway 417 Eastbound at PARKDALE AVE - Disabled Vehicle. 1 right lane and right shoulder closed. #otttraffic,Ottawa_Traffic,2021-12-21,19:32:02,,,,Closure,,
2021-12-21 14:04:02+00:00,1473293184163889153,Innes E/B reduced to 1 lane at Orleans Blvd - collision. OPS directing traffic. Duration unknown. #otttraffic,Ottawa_Traffic,2021-12-21,14:04:02,Collision,,,,Lane Reduction,
2021-12-20 22:36:02+00:00,1473059646843891724,(MTO) Highway 417 Westbound at MAITLAND AVE - Collision. left shoulder and left lane closed. #otttraffic,Ottawa_Traffic,2021-12-20,22:36:02,Collision,,,Closure,Lane Reduction,
2021-12-20 20:52:02+00:00,1473033473564811270,Innes reduced to 1 lane in each direction between Blackburn Hamlet byp and Orleans Blvd - vehicle fire. OPS directing traffic. Duration unknown. #otttraffic,Ottawa_Traffic,2021-12-20,20:52:02,,,Accident,,Lane Reduction,
2021-12-20 19:48:02+00:00,1473017366703489031,(MTO) Highway 417 Eastbound at PARKDALE AVE - Collision. left shoulder and left lane closed. #otttraffic,Ottawa_Traffic,2021-12-20,19:48:02,Collision,,,Closure,Lane Reduction,
2021-12-20 17:24:02+00:00,1472981130332811274,(MTO) Highway 417 Westbound at MOODIE DR - Disabled Vehicle. 1 centre lane closed. #otttraffic,Ottawa_Traffic,2021-12-20,17:24:02,,,,Closure,Lane Reduction,
2021-12-20 15:36:03+00:00,1472953952434065414,174 W/B reduced to 2 lanes between Blair and 417 - collision. OPS directing traffic. Duration unknown. #otttraffic,Ottawa_Traffic,2021-12-20,15:36:03,Collision,,,,Lane Reduction,
2021-12-20 13:56:02+00:00,1472928785741852677,"(PSPC) Alexandra Bridge closed due to construction. Cyclists and pedestrians not affected. From 9:30am to 3pm. From Monday, December 20 to Tuesday December 21. #otttraffic",Ottawa_Traffic,2021-12-20,13:56:02,,,,Closure,Lane Reduction,
2021-12-20 12:24:03+00:00,1472905637835296776,(MTO) Highway 417 Eastbound at LEES AVE - Collision. 1 left lane closed. #otttraffic,Ottawa_Traffic,2021-12-20,12:24:03,Collision,,,Closure,Lane Reduction,
2021-12-19 23:40:03+00:00,1472713367609655296,"Traffic disruptions in Canadian Tire Centre area - sporting event. From 7:30pm to 9pm on Sunday, December 19. #otttraffic",Ottawa_Traffic,2021-12-19,23:40:03,,,,,,
2021-12-19 19:12:04+00:00,1472645929853497348,"Traffic disruptions in Canadian Tire Centre area - sporting event. From 3pm to 5pm on Sunday, December 19. #otttraffic",Ottawa_Traffic,2021-12-19,19:12:04,,,,,,
2021-12-18 22:12:02+00:00,1472328831830835207,(MTO) Highway 417 Westbound at Highway 416 SB ON-RAMP - Collision. left shoulder and 1 left lane closed. #otttraffic,Ottawa_Traffic,2021-12-18,22:12:02,Collision,,,Closure,Lane Reduction,Ramp
2021-12-18 22:00:02+00:00,1472325809713172489,(MTO) Highway 417 Eastbound ON-RAMP at NICHOLAS /MANN AVE - Collision. right lane and right shoulder closed. #otttraffic,Ottawa_Traffic,2021-12-18,22:00:02,Collision,,,Closure,,Ramp
2021-12-18 21:24:03+00:00,1472316755632664578,(MTO) Highway 417 Westbound RAMP at VANIER PKWY/RIVERSIDE - Collision. right lane and right shoulder closed. #otttraffic,Ottawa_Traffic,2021-12-18,21:24:03,Collision,,,Closure,,Ramp
2021-12-18 21:16:03+00:00,1472314741678911491,(MTO) Highway 417 Westbound at PINECREST AVE / GREENBANK - Disabled Vehicle. right lane and right shoulder closed. #otttraffic,Ottawa_Traffic,2021-12-18,21:16:03,,,,Closure,,
2021-12-18 21:00:02+00:00,1472310710134792196,(MTO) Highway 417 Eastbound at MAITLAND AVE - Collision. left shoulder and 1 left lane closed. #otttraffic,Ottawa_Traffic,2021-12-18,21:00:02,Collision,,,Closure,Lane Reduction,
2021-12-18 14:28:02+00:00,1472212061929316359,(MTO) Highway 417 Eastbound at MOODIE DR - Collision. left shoulder and 1 left lane closed. #otttraffic,Ottawa_Traffic,2021-12-18,14:28:02,Collision,,,Closure,Lane Reduction,
2021-12-18 02:20:02+00:00,1472028854696951809,"174 W/B reduced to 1 lane between Blair and 417 - construction. From 10pm Friday, December 17 to 5am Saturday, December 18. #otttraffic",Ottawa_Traffic,2021-12-18,02:20:02,,,,,Lane Reduction,
2021-12-17 22:28:03+00:00,1471970474313887754,O'Connor S/B lane reductions between Catherine and Isabella - collision. OPS directing traffic. Duration unknown. #otttraffic,Ottawa_Traffic,2021-12-17,22:28:03,Collision,,,,Lane Reduction,
2021-12-17 21:44:02+00:00,1471959396779536386,Hunt Club reduced to 1 lane in each direction between Hawthorne and Blohm - collision. OPS directing traffic. Duration unknown. #otttraffic,Ottawa_Traffic,2021-12-17,21:44:02,Collision,,,,Lane Reduction,
2021-12-17 21:00:03+00:00,1471948327562674177,Baseline E/B reduced to 1 lane between Zena and Marson - unauthorized construction. Duration unknown. #otttraffic,Ottawa_Traffic,2021-12-17,21:00:03,,,,,Lane Reduction,
2021-12-17 20:44:02+00:00,1471944296500715526,Jeanne d'Arc South lane reduction in both directions at Orleans Blvd - collision. OPS directing traffic. Duration unknown. #otttraffic,Ottawa_Traffic,2021-12-17,20:44:02,Collision,,,,Lane Reduction,
2021-12-17 14:28:03+00:00,1471849675821043714,"174 W/B reduced to 1 lane between Champlain/Place d'Orleans and Jeanne d'Arc - construction. From 10am to 3pm on Friday, December 17. #otttraffic",Ottawa_Traffic,2021-12-17,14:28:03,,,,,Lane Reduction,
2021-12-17 13:32:02+00:00,1471835582460485636,"174 E/B reduced to 1 lane between Montreal/St-Joseph and Jeanne d'Arc - construction. From 9:30am to 2pm on Friday, December 17.#otttraffic",Ottawa_Traffic,2021-12-17,13:32:02,,,,,Lane Reduction,
2021-12-17 13:30:02+00:00,1471835077332152328,(MTO) 417 W/B reduced to 1 lane between Kinburn Side Rd and Rd 29 - maintenance. From 9am to 4pm today. #otttraffic,Ottawa_Traffic,2021-12-17,13:30:02,,,,,Lane Reduction,
2021-12-17 13:24:02+00:00,1471833569391788034,"Ramp closed between Jeanne d'Arc S/B and 174 E/B - construction. From 9:30am to 2pm on Friday, December 17. #otttraffic",Ottawa_Traffic,2021-12-17,13:24:02,,,,Closure,Lane Reduction,Ramp
2021-12-17 01:28:02+00:00,1471653379407495170,"174 W/B left-turn lane closed at Trim - construction. From 9pm Thursday, December 16 to 5:30am Friday, December 17. #otttraffic",Ottawa_Traffic,2021-12-17,01:28:02,,,,Closure,Lane Reduction,
2021-12-17 01:20:02+00:00,1471651366649147394,"174 W/B reduced to 1 lane between Montreal/St-Joseph and Blair - construction. From 9pm Thursday, December 16 to 5am Friday, December 17. #otttraffic",Ottawa_Traffic,2021-12-17,01:20:02,,,,,Lane Reduction,
2021-12-17 01:16:02+00:00,1471650359731015681,"Ramp closed between 174 W/B and Blair - construction. From 9pm Thursday, December 16 to 5am Friday, December 17. #otttraffic",Ottawa_Traffic,2021-12-17,01:16:02,,,,Closure,,Ramp
2021-12-16 22:36:03+00:00,1471610099756118031,(MTO) Highway 417 Eastbound at CARLING AVE / KIRKWOOD AVE - Disabled Vehicle. left shoulder and 1 left lane closed. #otttraffic,Ottawa_Traffic,2021-12-16,22:36:03,,,,Closure,Lane Reduction,
2021-12-16 22:36:03+00:00,1471610098065752066,Vanier Pkwy N/B reduced to 1 lane between Coventry and Queen Mary - collision. OPS directing traffic. Duration unknown. #otttraffic,Ottawa_Traffic,2021-12-16,22:36:03,Collision,,,,Lane Reduction,
2021-12-16 21:44:02+00:00,1471597007726944265,Traffic disruptions at Bank &amp; Belmont - power outage. Duration unknown. #otttraffic,Ottawa_Traffic,2021-12-16,21:44:02,,,,,,
2021-12-16 20:16:02+00:00,1471574862485463045,St Laurent S/B reduced to 1 lane at Smyth/Lancaster - collision. OPS directing traffic. Duration unknown. #otttraffic,Ottawa_Traffic,2021-12-16,20:16:02,Collision,,,,Lane Reduction,
2021-12-16 19:36:02+00:00,1471564796810125316,Traffic disruptions in the Manotick Area due to a power outage. Police are directing traffic. Duration is unknown. Expect delays.#otttraffic,Ottawa_Traffic,2021-12-16,19:36:02,,Slow,,,,
2021-12-16 17:08:02+00:00,1471527553080958982,(MTO) Highway 417 Eastbound at ST. LAURENT BLVD - Collision. left shoulder and 1 left lane closed. #otttraffic,Ottawa_Traffic,2021-12-16,17:08:02,Collision,,,Closure,Lane Reduction,
2021-12-16 17:00:02+00:00,1471525536480612360,(MTO) Highway 417 Eastbound at ST. LAURENT BLVD - Collision. left shoulder and 2 left lanes closed. #otttraffic,Ottawa_Traffic,2021-12-16,17:00:02,Collision,,,Closure,,
2021-12-16 16:44:02+00:00,1471521510296891396,Hunt Club W/B reduced to 1 lane between Riverside and Prince of Wales - collision. Duration unknown. #otttraffic,Ottawa_Traffic,2021-12-16,16:44:02,Collision,,,,Lane Reduction,
2021-12-16 13:48:02+00:00,1471477220250206214,St-Laurent N/B lane reduction at Montreal Rd - collision. Duration unknown. #otttraffic,Ottawa_Traffic,2021-12-16,13:48:02,Collision,,,,Lane Reduction,
2021-12-16 13:36:02+00:00,1471474200267431937,Waller S/B lane reduction between Rideau St and Besserer - collision. OPS directing traffic. Duration unknown. #otttraffic,Ottawa_Traffic,2021-12-16,13:36:02,Collision,,,,Lane Reduction,
2021-12-16 01:28:03+00:00,1471290995753033730,"174 W/B left-turn lane closed at Trim - construction. From 9pm Wednesday, December 15 to 5:30am Thursday, December 16. #otttraffic",Ottawa_Traffic,2021-12-16,01:28:03,,,,Closure,Lane Reduction,
2021-12-15 23:24:02+00:00,1471259788831043584,Hazeldean closed between Castlefrank and Carbrooke - collision. OPS directing traffic. Duration unknown. Use other routes. #otttraffic,Ottawa_Traffic,2021-12-15,23:24:02,Collision,,,Closure,,
2021-12-15 22:28:02+00:00,1471245692924530692,St Laurent reduced to 1 lane in each direction at Smyth/Lancaster - collision. OPS directing traffic. Duration unknown. #otttraffic,Ottawa_Traffic,2021-12-15,22:28:02,Collision,,,,Lane Reduction,
2021-12-15 22:24:02+00:00,1471244687776362496,St Laurent N/B lane reduction between Susan and Joliffe - collision. OPS directing traffic. Duration unknown. #otttraffic,Ottawa_Traffic,2021-12-15,22:24:02,Collision,,,,Lane Reduction,
2021-12-15 21:44:02+00:00,1471234622776348681,Update: Albion now closed between Lester and Leitrim - collision. OPS directing traffic. Duration unknown. Avoid area and use other routes. #otttraffic,Ottawa_Traffic,2021-12-15,21:44:02,Collision,,,Closure,,
2021-12-15 21:24:02+00:00,1471229587652755467,(MTO) Highway 417 Westbound at CARLING AVE / KIRKWOOD AVE - Disabled Vehicle. right lane closed. #otttraffic,Ottawa_Traffic,2021-12-15,21:24:02,,,,Closure,Lane Reduction,
2021-12-15 21:08:03+00:00,1471225563331375111,Albion reduced to 1 lane with alternating traffic between Lester and Leitrim - collision. OPS directing traffic. Duration unknown. Avoid area and use other routes. #otttraffic,Ottawa_Traffic,2021-12-15,21:08:03,Collision,,,,Lane Reduction,
2021-12-15 20:08:03+00:00,1471210464348676096,Riverside S/B reduced to 1 lane between Kimberwick and Hunt Club - collision. OPS directing traffic. Duration unknown. #otttraffic,Ottawa_Traffic,2021-12-15,20:08:03,Collision,,,,Lane Reduction,
2021-12-15 18:44:02+00:00,1471189323777200133,(MTO) Highway 417 Eastbound RAMP at MOODIE DR - Collision. All lanes closed. #otttraffic,Ottawa_Traffic,2021-12-15,18:44:02,Collision,,,Closure,,Ramp
2021-12-15 16:44:02+00:00,1471159123358195714,Bronson N/B lane reduction between First Ave and Carling/Glebe Ave - disabled vehicle. Duration unknown. #otttraffic,Ottawa_Traffic,2021-12-15,16:44:02,,,,,Lane Reduction,
2021-12-15 16:15:02+00:00,1471151827240554511,"Due to watermain repairs, the SB lanes on Woodroffe Ave. between Hunt Club Rd. &amp; Fallowfield Rd. will be reduced to one lane from today, Dec. 15 at 7 pm until Monday, Dec. 20 at 3 pm.
Heavy traffic delays are expected. Use alternate routes if possible. https://t.co/ed0afEsR2V https://t.co/TY38bqOr4j",Ottawa_Traffic,2021-12-15,16:15:02,,Slow,,,Lane Reduction,
2021-12-15 11:52:02+00:00,1471085639009509382,King Edward S/B reduced to 2 lanes between Guigues and St-Patrick - disabled vehicle. Duration unknown. #otttraffic,Ottawa_Traffic,2021-12-15,11:52:02,,,,,Lane Reduction,
2021-12-15 02:12:02+00:00,1470939677528047617,"Ramp closed between 174 W/B and Blair - construction. From 10pm Tuesday, December 14 to 5am Wednesday, December 15. #otttraffic",Ottawa_Traffic,2021-12-15,02:12:02,,,,Closure,,Ramp
2021-12-15 01:32:02+00:00,1470929610946879503,"174 W/B left-turn lane closed at Trim - construction. From 9pm Tuesday, December 14 to 5:30am Wednesday, December 15. #otttraffic",Ottawa_Traffic,2021-12-15,01:32:02,,,,Closure,Lane Reduction,
2021-12-15 01:12:03+00:00,1470924581913382924,"174 W/B reduced to 1 lane between Trim and Tenth Line - construction. From 9pm Tuesday, December 14 to 5:30am Wednesday, December 15. #otttraffic",Ottawa_Traffic,2021-12-15,01:12:03,,,,,Lane Reduction,
2021-12-15 00:56:02+00:00,1470920553083121666,"Ramp closed between 174 W/B and Tenth Line - construction. From 9pm Tuesday, December 14 to 5:30am Wednesday, December 15. #otttraffic",Ottawa_Traffic,2021-12-15,00:56:02,,,,Closure,,Ramp
2021-12-14 22:24:02+00:00,1470882300166615042,Carling E/B reduced to 2 lanes at Clyde - collision. OPS directing traffic. Duration unknown. #otttraffic,Ottawa_Traffic,2021-12-14,22:24:02,Collision,,,,Lane Reduction,
2021-12-14 21:40:03+00:00,1470871228873416711,Vanier Pkwy S/B reduced to 1 lane between Coventry and 417 - collision. OPS directing traffic. Duration unknown. #otttraffic,Ottawa_Traffic,2021-12-14,21:40:03,Collision,,,,Lane Reduction,
2021-12-14 21:20:02+00:00,1470866192940388366,Greenbank reduced to 1 lane with alternating traffic between Bending and Jockvale - collision. OPS directing traffic. Duration unknown. #otttraffic,Ottawa_Traffic,2021-12-14,21:20:02,Collision,,,,Lane Reduction,
2021-12-14 16:48:03+00:00,1470797744663306241,(MTO) Highway 417 Eastbound at BELFAST - Disabled Vehicle. 2 right lanes and right shoulder closed. #otttraffic,Ottawa_Traffic,2021-12-14,16:48:03,,,,Closure,,
2021-12-14 16:40:02+00:00,1470795729018966016,(MTO) Highway 417 Eastbound at BELFAST - Disabled Vehicle. 1 right lane and right shoulder closed. #otttraffic,Ottawa_Traffic,2021-12-14,16:40:02,,,,Closure,,
2021-12-14 14:00:29+00:00,1470755575516614656,(MTO) Ramp lane reduction between 416N/417E and Holly Acres - construction. From 9:30am to 3pm today. #otttraffic,Ottawa_Traffic,2021-12-14,14:00:29,,,,,Lane Reduction,Ramp
2021-12-14 12:32:02+00:00,1470733319457456131,Bronson reduced to 1 lane with alternating traffic at Chamberlain/Plymouth/Imperial - collision. OPS directing traffic. Duration unknown. #otttraffic,Ottawa_Traffic,2021-12-14,12:32:02,Collision,,,,Lane Reduction,
2021-12-14 04:20:02+00:00,1470609502361772033,(MTO) Highway 417 Eastbound at ROCHESTER (IC 121B) - Collision. right lane and right shoulder closed. #otttraffic,Ottawa_Traffic,2021-12-14,04:20:02,Collision,,,Closure,,
2021-12-14 01:12:02+00:00,1470562190126157831,"174 W/B left-turn lane closed at Trim - construction. From 9pm Monday, December 13 to 5:30am Tuesday, December 14. #otttraffic",Ottawa_Traffic,2021-12-14,01:12:02,,,,Closure,Lane Reduction,
2021-12-13 23:28:02+00:00,1470536018558337031,"174 E/B reduced to 1 lane between Jeanne d'Arc and Champlain/Place d'Orleans - construction. From 7pm Monday, December 13 to 5:30am Tuesday, December 14. #otttraffic",Ottawa_Traffic,2021-12-13,23:28:02,,,,,Lane Reduction,
2021-12-13 23:20:03+00:00,1470534009415507969,Ogilvie E/B closed at Aviation - collision. OPS directing traffic. Duration unknown. Avoid area and use other routes. #otttraffic,Ottawa_Traffic,2021-12-13,23:20:03,Collision,,,Closure,,
2021-12-13 23:20:03+00:00,1470534007653912583,Aviation closed at Ogilvie - collision. OPS directing traffic. Duration unknown. Avoid area and use other routes. #otttraffic,Ottawa_Traffic,2021-12-13,23:20:03,Collision,,,Closure,,
2021-12-13 23:16:02+00:00,1470532996595867660,(MTO) Highway 417 Westbound RAMP at AVIATION PKWY (IC 113A) - Police Investigation. All lanes closed. #otttraffic,Ottawa_Traffic,2021-12-13,23:16:02,,,,Closure,,Ramp
2021-12-13 23:08:02+00:00,1470530982956703747,"174 E/B reduced to 1 lane at Trim - emergency repairs. From 7pm Monday, December 13 to 2pm Tuesday, December 14. #otttraffic",Ottawa_Traffic,2021-12-13,23:08:02,,,,,Lane Reduction,
2021-12-13 23:00:02+00:00,1470528972450635786,Update: Hunt Club closed between Greenbank and Cedarview - collision. OPS directing traffic. Duration unknown. #otttraffic,Ottawa_Traffic,2021-12-13,23:00:02,Collision,,,Closure,,
2021-12-13 22:44:02+00:00,1470524944715067401,Hunt Club W/B closed between Greenbank and Cedarview - collision. OPS directing traffic. Duration unknown. #otttraffic,Ottawa_Traffic,2021-12-13,22:44:02,Collision,,,Closure,,
2021-12-13 21:08:02+00:00,1470500784638935055,174 E/B reduced to 1 lane at Montreal/St-Joseph - collision. OPS directing traffic. Duration unknown. Expect delays. #otttraffic,Ottawa_Traffic,2021-12-13,21:08:02,Collision,Slow,,,Lane Reduction,
2021-12-13 21:00:02+00:00,1470498770836197383,Fisher reduced to 1 lane with alternating traffic at Shillington - emergency repairs. Duration unknown. #otttraffic,Ottawa_Traffic,2021-12-13,21:00:02,,,,,Lane Reduction,
2021-12-13 17:28:03+00:00,1470445422955147268,Nepean St E/B closed between Bank and O'Connor - collision. OPS directing traffic. Duration unknown. Use other routes. #otttraffic,Ottawa_Traffic,2021-12-13,17:28:03,Collision,,,Closure,,
2021-12-13 14:30:04+00:00,1470400633425514496,(MTO) Ramp lane reduction between 417 E/B and Greenbank/Pinecrest - construction. From 10am to 2:30pm today. #otttraffic,Ottawa_Traffic,2021-12-13,14:30:04,,,,,Lane Reduction,Ramp
2021-12-12 22:00:03+00:00,1470151486080491521,(MTO) Highway 417 Eastbound at PARKDALE AVE - Collision. 2 right lanes and right shoulder closed. #otttraffic,Ottawa_Traffic,2021-12-12,22:00:03,Collision,,,Closure,,
2021-12-12 19:36:02+00:00,1470115246664830980,(MTO) Highway 417 Westbound from NICHOLAS /MANN AVE to O'CONNOR (IC 119B) - Collision. left lane closed. #otttraffic,Ottawa_Traffic,2021-12-12,19:36:02,Collision,,,Closure,Lane Reduction,
2021-12-11 19:40:02+00:00,1469753863972532228,"Traffic disruptions in Canadian Tire Centre area - sporting event. From 3:30pm to 5pm on Saturday, December 11. #otttraffic",Ottawa_Traffic,2021-12-11,19:40:02,,,,,,
2021-12-11 16:32:02+00:00,1469706553422979085,(MTO) Highway 417 Westbound RAMP at MAITLAND AVE - Collision. All lanes closed. #otttraffic,Ottawa_Traffic,2021-12-11,16:32:02,Collision,,,Closure,,Ramp
2021-12-11 15:24:02+00:00,1469689439475703810,(MTO) Highway 417 Westbound RAMP at MAITLAND AVE - Collision. right lane closed. #otttraffic,Ottawa_Traffic,2021-12-11,15:24:02,Collision,,,Closure,Lane Reduction,Ramp
